epoch;epsilon;loss;randomF1;oracleF1;rougeF1;rougeRecall;rougePrecision;actual;pred;nselect;nskip;query
0; 1.000; 0.052785; 0.053973; 0.142480; 0.053973; 0.060751; 0.447059; {min=-0.097, max=0.650}; {min=-0.033, max=0.432}; 12; 7; 1
1; 0.967; 0.044552; 0.053973; 0.142480; 0.053973; 0.060751; 0.447059; {min=-0.097, max=0.650}; {min=-0.069, max=0.381}; 12; 7; 1
2; 0.933; 0.039813; 0.053973; 0.142480; 0.053973; 0.060751; 0.447059; {min=-0.097, max=0.650}; {min=-0.088, max=0.350}; 12; 7; 1
3; 0.900; 0.036079; 0.053973; 0.142480; 0.053973; 0.059153; 0.418079; {min=-0.097, max=0.650}; {min=-0.101, max=0.327}; 12; 7; 1
4; 0.867; 0.034041; 0.053973; 0.142480; 0.053973; 0.051958; 0.419355; {min=-0.097, max=0.650}; {min=-0.109, max=0.308}; 10; 9; 1
5; 0.833; 0.032459; 0.053973; 0.142480; 0.053973; 0.051958; 0.419355; {min=-0.097, max=0.650}; {min=-0.116, max=0.291}; 10; 9; 1
6; 0.800; 0.030153; 0.053973; 0.142480; 0.053973; 0.051958; 0.419355; {min=-0.097, max=0.650}; {min=-0.122, max=0.276}; 10; 9; 1
7; 0.767; 0.029584; 0.053973; 0.142480; 0.053973; 0.051958; 0.419355; {min=-0.097, max=0.650}; {min=-0.126, max=0.262}; 10; 9; 1
8; 0.733; 0.028133; 0.053973; 0.142480; 0.053973; 0.051958; 0.419355; {min=-0.097, max=0.650}; {min=-0.129, max=0.249}; 10; 9; 1
9; 0.700; 0.027474; 0.053973; 0.142480; 0.053973; 0.051958; 0.419355; {min=-0.097, max=0.650}; {min=-0.133, max=0.239}; 10; 9; 1
10; 0.667; 0.026488; 0.053973; 0.142480; 0.053973; 0.051958; 0.419355; {min=-0.097, max=0.650}; {min=-0.135, max=0.239}; 10; 9; 1
11; 0.633; 0.025544; 0.053973; 0.142480; 0.053973; 0.051958; 0.419355; {min=-0.097, max=0.650}; {min=-0.137, max=0.239}; 10; 9; 1
12; 0.600; 0.025263; 0.053973; 0.142480; 0.065041; 0.039968; 0.367647; {min=-0.097, max=0.650}; {min=-0.157, max=0.238}; 10; 9; 1
13; 0.567; 0.024554; 0.053973; 0.142480; 0.065041; 0.034373; 0.352459; {min=-0.097, max=0.650}; {min=-0.160, max=0.239}; 9; 10; 1
14; 0.533; 0.024203; 0.053973; 0.142480; 0.065041; 0.034373; 0.352459; {min=-0.097, max=0.650}; {min=-0.161, max=0.240}; 9; 10; 1
15; 0.500; 0.020570; 0.053973; 0.142480; 0.065041; 0.038369; 0.350365; {min=-0.112, max=0.650}; {min=-0.162, max=0.241}; 10; 9; 1
16; 0.467; 0.019536; 0.053973; 0.142480; 0.065041; 0.038369; 0.350365; {min=-0.112, max=0.650}; {min=-0.164, max=0.241}; 10; 9; 1
17; 0.433; 0.019457; 0.053973; 0.142480; 0.065041; 0.043965; 0.366667; {min=-0.112, max=0.650}; {min=-0.166, max=0.241}; 9; 10; 1
18; 0.400; 0.018954; 0.053973; 0.142480; 0.065041; 0.043965; 0.366667; {min=-0.112, max=0.650}; {min=-0.167, max=0.241}; 9; 10; 1
19; 0.367; 0.017204; 0.053973; 0.142480; 0.065041; 0.041567; 0.393939; {min=-0.112, max=0.650}; {min=-0.168, max=0.242}; 8; 11; 1
20; 0.333; 0.018334; 0.053973; 0.142480; 0.065041; 0.039169; 0.411765; {min=-0.112, max=0.650}; {min=-0.169, max=0.245}; 8; 11; 1
21; 0.300; 0.018125; 0.053973; 0.142480; 0.077259; 0.039968; 0.409836; {min=-0.112, max=0.650}; {min=-0.188, max=0.249}; 8; 11; 1
