epoch;epsilon;loss;randomF1;oracleF1;rougeF1;rougeRecall;rougePrecision;actual;pred;nselect;nskip;query
0; 1.000; 0.007860; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.126, max=0.223}; 12; 7; 1
1; 0.967; 0.005272; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.085, max=0.183}; 12; 7; 1
2; 0.933; 0.004030; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.071, max=0.160}; 12; 7; 1
3; 0.900; 0.003224; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.063, max=0.143}; 12; 7; 1
4; 0.867; 0.002928; 0.000000; 0.095365; 0.005010; 0.002569; 0.100000; {min=0.000, max=0.002}; {min=-0.058, max=0.129}; 10; 9; 1
5; 0.833; 0.002613; 0.000000; 0.095365; 0.006990; 0.003597; 0.122807; {min=0.000, max=0.002}; {min=-0.057, max=0.117}; 10; 9; 1
6; 0.800; 0.002189; 0.000000; 0.095365; 0.006986; 0.003597; 0.120690; {min=0.000, max=0.002}; {min=-0.056, max=0.106}; 10; 9; 1
7; 0.767; 0.001824; 0.000000; 0.095365; 0.026290; 0.013875; 0.250000; {min=0.000, max=0.006}; {min=-0.056, max=0.096}; 10; 9; 1
8; 0.733; 0.001510; 0.000000; 0.095365; 0.026290; 0.013875; 0.250000; {min=0.000, max=0.006}; {min=-0.056, max=0.090}; 10; 9; 1
9; 0.700; 0.001439; 0.000000; 0.095365; 0.026290; 0.013875; 0.250000; {min=0.000, max=0.006}; {min=-0.055, max=0.085}; 10; 9; 1
10; 0.667; 0.001247; 0.000000; 0.095365; 0.026290; 0.013875; 0.250000; {min=0.000, max=0.006}; {min=-0.055, max=0.081}; 10; 9; 1
11; 0.633; 0.001228; 0.000000; 0.095365; 0.026290; 0.013875; 0.250000; {min=0.000, max=0.006}; {min=-0.054, max=0.078}; 10; 9; 1
12; 0.600; 0.001049; 0.000000; 0.095365; 0.026290; 0.013875; 0.250000; {min=0.000, max=0.006}; {min=-0.052, max=0.075}; 9; 10; 1
13; 0.567; 0.000876; 0.000000; 0.095365; 0.029126; 0.015416; 0.263158; {min=0.000, max=0.006}; {min=-0.052, max=0.072}; 9; 10; 1
14; 0.533; 0.000819; 0.000000; 0.095365; 0.029126; 0.015416; 0.263158; {min=0.000, max=0.006}; {min=-0.050, max=0.071}; 9; 10; 1
15; 0.500; 0.000673; 0.000000; 0.095365; 0.029126; 0.015416; 0.263158; {min=0.000, max=0.006}; {min=-0.052, max=0.069}; 9; 10; 1
16; 0.467; 0.000692; 0.000000; 0.095365; 0.029126; 0.015416; 0.263158; {min=0.000, max=0.006}; {min=-0.055, max=0.068}; 9; 10; 1
17; 0.433; 0.000723; 0.000000; 0.095365; 0.039329; 0.021069; 0.294964; {min=0.000, max=0.006}; {min=-0.056, max=0.066}; 8; 11; 1
18; 0.400; 0.000744; 0.000000; 0.095365; 0.039329; 0.021069; 0.294964; {min=0.000, max=0.006}; {min=-0.058, max=0.065}; 8; 11; 1
19; 0.367; 0.000784; 0.000000; 0.095365; 0.039329; 0.021069; 0.294964; {min=0.000, max=0.006}; {min=-0.058, max=0.065}; 8; 11; 1
20; 0.333; 0.000715; 0.000000; 0.095365; 0.039329; 0.021069; 0.294964; {min=0.000, max=0.006}; {min=-0.058, max=0.064}; 9; 10; 1
21; 0.300; 0.000632; 0.000000; 0.095365; 0.039329; 0.021069; 0.294964; {min=0.000, max=0.006}; {min=-0.057, max=0.064}; 8; 11; 1
22; 0.267; 0.000665; 0.000000; 0.095365; 0.039329; 0.021069; 0.294964; {min=0.000, max=0.006}; {min=-0.056, max=0.063}; 8; 11; 1
23; 0.233; 0.000618; 0.000000; 0.095365; 0.039329; 0.021069; 0.294964; {min=0.000, max=0.006}; {min=-0.055, max=0.063}; 8; 11; 1
24; 0.200; 0.000728; 0.000000; 0.095365; 0.039329; 0.021069; 0.294964; {min=0.000, max=0.006}; {min=-0.054, max=0.063}; 8; 11; 1
25; 0.167; 0.000557; 0.000000; 0.095365; 0.039329; 0.021069; 0.294964; {min=0.000, max=0.006}; {min=-0.052, max=0.062}; 8; 11; 1
26; 0.133; 0.000422; 0.000000; 0.095365; 0.039329; 0.021069; 0.294964; {min=0.000, max=0.006}; {min=-0.051, max=0.061}; 8; 11; 1
27; 0.100; 0.000410; 0.000000; 0.095365; 0.039329; 0.021069; 0.294964; {min=0.000, max=0.006}; {min=-0.051, max=0.061}; 8; 11; 1
28; 0.100; 0.000366; 0.000000; 0.095365; 0.054028; 0.029291; 0.347561; {min=0.000, max=0.008}; {min=-0.050, max=0.060}; 9; 10; 1
29; 0.100; 0.000325; 0.000000; 0.095365; 0.054028; 0.029291; 0.347561; {min=0.000, max=0.008}; {min=-0.050, max=0.059}; 9; 10; 1
30; 0.100; 0.000351; 0.000000; 0.095365; 0.054028; 0.029291; 0.347561; {min=0.000, max=0.008}; {min=-0.050, max=0.059}; 9; 10; 1
31; 0.100; 0.000370; 0.000000; 0.095365; 0.054028; 0.029291; 0.347561; {min=0.000, max=0.008}; {min=-0.049, max=0.058}; 9; 10; 1
32; 0.100; 0.000350; 0.000000; 0.095365; 0.054028; 0.029291; 0.347561; {min=0.000, max=0.008}; {min=-0.049, max=0.058}; 9; 10; 1
33; 0.100; 0.000274; 0.000000; 0.095365; 0.054028; 0.029291; 0.347561; {min=0.000, max=0.008}; {min=-0.049, max=0.058}; 9; 10; 1
34; 0.100; 0.000252; 0.000000; 0.095365; 0.054028; 0.029291; 0.347561; {min=0.000, max=0.008}; {min=-0.049, max=0.057}; 9; 10; 1
35; 0.100; 0.000243; 0.000000; 0.095365; 0.054028; 0.029291; 0.347561; {min=0.000, max=0.008}; {min=-0.050, max=0.056}; 9; 10; 1
36; 0.100; 0.000231; 0.000000; 0.095365; 0.054028; 0.029291; 0.347561; {min=0.000, max=0.008}; {min=-0.050, max=0.055}; 9; 10; 1
37; 0.100; 0.000244; 0.000000; 0.095365; 0.054028; 0.029291; 0.347561; {min=0.000, max=0.008}; {min=-0.051, max=0.055}; 9; 10; 1
38; 0.100; 0.000229; 0.000000; 0.095365; 0.054028; 0.029291; 0.347561; {min=0.000, max=0.008}; {min=-0.051, max=0.054}; 9; 10; 1
39; 0.100; 0.000221; 0.000000; 0.095365; 0.054028; 0.029291; 0.347561; {min=0.000, max=0.008}; {min=-0.051, max=0.053}; 9; 10; 1
40; 0.100; 0.000218; 0.000000; 0.095365; 0.054028; 0.029291; 0.347561; {min=0.000, max=0.008}; {min=-0.051, max=0.053}; 9; 10; 1
41; 0.100; 0.000208; 0.000000; 0.095365; 0.054028; 0.029291; 0.347561; {min=0.000, max=0.008}; {min=-0.051, max=0.052}; 9; 10; 1
42; 0.100; 0.000198; 0.000000; 0.095365; 0.054028; 0.029291; 0.347561; {min=0.000, max=0.008}; {min=-0.051, max=0.052}; 9; 10; 1
43; 0.100; 0.000191; 0.000000; 0.095365; 0.054028; 0.029291; 0.347561; {min=0.000, max=0.008}; {min=-0.051, max=0.051}; 9; 10; 1
44; 0.100; 0.000185; 0.000000; 0.095365; 0.060292; 0.032888; 0.361582; {min=0.000, max=0.008}; {min=-0.051, max=0.050}; 10; 9; 1
45; 0.100; 0.000180; 0.000000; 0.095365; 0.060292; 0.032888; 0.361582; {min=0.000, max=0.008}; {min=-0.051, max=0.050}; 10; 9; 1
46; 0.100; 0.000175; 0.000000; 0.095365; 0.060292; 0.032888; 0.361582; {min=0.000, max=0.008}; {min=-0.051, max=0.049}; 10; 9; 1
47; 0.100; 0.000170; 0.000000; 0.095365; 0.060292; 0.032888; 0.361582; {min=0.000, max=0.008}; {min=-0.051, max=0.048}; 10; 9; 1
48; 0.100; 0.000165; 0.000000; 0.095365; 0.060292; 0.032888; 0.361582; {min=0.000, max=0.008}; {min=-0.051, max=0.048}; 10; 9; 1
49; 0.100; 0.000161; 0.000000; 0.095365; 0.070764; 0.039054; 0.376238; {min=0.000, max=0.008}; {min=-0.051, max=0.047}; 11; 8; 1
50; 0.100; 0.000159; 0.000000; 0.095365; 0.070764; 0.039054; 0.376238; {min=0.000, max=0.008}; {min=-0.051, max=0.046}; 11; 8; 1
51; 0.100; 0.000154; 0.000000; 0.095365; 0.070764; 0.039054; 0.376238; {min=0.000, max=0.008}; {min=-0.051, max=0.046}; 11; 8; 1
52; 0.100; 0.000149; 0.000000; 0.095365; 0.070764; 0.039054; 0.376238; {min=0.000, max=0.008}; {min=-0.052, max=0.045}; 11; 8; 1
53; 0.100; 0.000146; 0.000000; 0.095365; 0.070764; 0.039054; 0.376238; {min=0.000, max=0.008}; {min=-0.052, max=0.045}; 11; 8; 1
54; 0.100; 0.000142; 0.000000; 0.095365; 0.070764; 0.039054; 0.376238; {min=0.000, max=0.008}; {min=-0.052, max=0.044}; 11; 8; 1
