epoch;epsilon;loss;randomF1;oracleF1;rougeF1;rougeRecall;rougePrecision;actual;pred;nselect;nskip;query
0; 1.000; 0.001221; 0.042857; 0.223947; 0.042857; 0.024077; 0.194805; {min=0.000, max=0.016}; {min=-0.120, max=0.014}; 12; 8; 2
1; 0.960; 0.000421; 0.042857; 0.223947; 0.170606; 0.133226; 0.237143; {min=0.000, max=0.028}; {min=-0.113, max=0.031}; 13; 7; 2
2; 0.920; 0.000399; 0.042857; 0.223947; 0.169634; 0.130016; 0.243976; {min=0.000, max=0.028}; {min=-0.098, max=0.035}; 9; 11; 2
3; 0.880; 0.000338; 0.042857; 0.223947; 0.081081; 0.048154; 0.256410; {min=0.000, max=0.037}; {min=-0.074, max=0.054}; 14; 6; 2
4; 0.840; 0.000234; 0.042857; 0.223947; 0.081081; 0.048154; 0.256410; {min=0.000, max=0.037}; {min=-0.068, max=0.058}; 11; 9; 2
5; 0.800; 0.000197; 0.042857; 0.223947; 0.081081; 0.048154; 0.256410; {min=0.000, max=0.037}; {min=-0.057, max=0.059}; 12; 8; 2
6; 0.760; 0.000147; 0.042857; 0.223947; 0.135714; 0.091493; 0.262673; {min=0.000, max=0.030}; {min=-0.055, max=0.050}; 12; 8; 2
7; 0.720; 0.000104; 0.042857; 0.223947; 0.127607; 0.083467; 0.270833; {min=0.000, max=0.031}; {min=-0.054, max=0.040}; 11; 9; 2
8; 0.680; 0.000152; 0.042857; 0.223947; 0.135714; 0.091493; 0.262673; {min=0.000, max=0.030}; {min=-0.046, max=0.041}; 6; 14; 2
9; 0.640; 0.000158; 0.042857; 0.223947; 0.134091; 0.094703; 0.229572; {min=0.000, max=0.028}; {min=-0.045, max=0.042}; 10; 10; 2
10; 0.600; 0.000134; 0.042857; 0.223947; 0.134091; 0.094703; 0.229572; {min=0.000, max=0.028}; {min=-0.044, max=0.036}; 9; 11; 2
11; 0.560; 0.000121; 0.042857; 0.223947; 0.134091; 0.094703; 0.229572; {min=0.000, max=0.028}; {min=-0.041, max=0.033}; 12; 8; 2
12; 0.520; 0.000093; 0.042857; 0.223947; 0.169634; 0.130016; 0.243976; {min=0.000, max=0.028}; {min=-0.038, max=0.021}; 13; 7; 2
13; 0.480; 0.000138; 0.042857; 0.223947; 0.147727; 0.104334; 0.252918; {min=0.000, max=0.028}; {min=-0.033, max=0.049}; 14; 6; 2
14; 0.440; 0.000102; 0.042857; 0.223947; 0.131792; 0.091493; 0.235537; {min=0.000, max=0.028}; {min=-0.032, max=0.028}; 15; 5; 2
15; 0.400; 0.000079; 0.042857; 0.223947; 0.150276; 0.109149; 0.241135; {min=0.000, max=0.028}; {min=-0.034, max=0.023}; 14; 6; 2
16; 0.360; 0.000081; 0.042857; 0.223947; 0.168085; 0.126806; 0.249211; {min=0.000, max=0.028}; {min=-0.029, max=0.023}; 13; 7; 2
17; 0.320; 0.000053; 0.042857; 0.223947; 0.168085; 0.126806; 0.249211; {min=0.000, max=0.028}; {min=-0.026, max=0.024}; 13; 7; 2
18; 0.280; 0.000053; 0.042857; 0.223947; 0.151448; 0.109149; 0.247273; {min=0.000, max=0.027}; {min=-0.028, max=0.050}; 14; 6; 2
19; 0.240; 0.000037; 0.042857; 0.223947; 0.168085; 0.126806; 0.249211; {min=0.000, max=0.028}; {min=-0.024, max=0.024}; 12; 8; 2
20; 0.200; 0.000033; 0.042857; 0.223947; 0.147727; 0.104334; 0.252918; {min=0.000, max=0.028}; {min=-0.026, max=0.043}; 11; 9; 2
21; 0.160; 0.000069; 0.042857; 0.223947; 0.098734; 0.062600; 0.233533; {min=0.000, max=0.028}; {min=-0.023, max=0.045}; 9; 11; 2
22; 0.120; 0.000048; 0.042857; 0.223947; 0.103960; 0.067416; 0.227027; {min=0.000, max=0.027}; {min=-0.023, max=0.052}; 9; 11; 2
23; 0.080; 0.000065; 0.042857; 0.223947; 0.098734; 0.062600; 0.233533; {min=0.000, max=0.028}; {min=-0.019, max=0.033}; 8; 12; 2
24; 0.040; 0.000048; 0.042857; 0.223947; 0.144960; 0.102729; 0.246154; {min=0.000, max=0.028}; {min=-0.019, max=0.052}; 12; 8; 2
25; 0.000; 0.000031; 0.042857; 0.223947; 0.144960; 0.102729; 0.246154; {min=0.000, max=0.028}; {min=-0.019, max=0.050}; 12; 8; 2
26; 0.000; 0.000024; 0.042857; 0.223947; 0.128571; 0.086677; 0.248848; {min=0.000, max=0.030}; {min=-0.018, max=0.028}; 10; 10; 2
27; 0.000; 0.000038; 0.042857; 0.223947; 0.144960; 0.102729; 0.246154; {min=0.000, max=0.028}; {min=-0.017, max=0.048}; 12; 8; 2
