epoch;epsilon;loss;randomF1;oracleF1;rougeF1;rougeRecall;rougePrecision;actual;pred;nselect;nskip;query
0; 1.000; 0.002625; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.110, max=-0.003}; 12; 7; 1
1; 0.967; 0.000758; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.061, max=0.013}; 12; 7; 1
2; 0.933; 0.005526; 0.000000; 0.095365; 0.025013; 0.012847; 0.471698; {min=0.000, max=0.429}; {min=-0.040, max=0.019}; 12; 7; 1
3; 0.900; 0.007775; 0.000000; 0.095365; 0.052376; 0.027749; 0.465517; {min=-0.091, max=0.650}; {min=-0.024, max=0.021}; 12; 7; 1
4; 0.867; 0.006228; 0.000000; 0.095365; 0.065903; 0.035457; 0.466216; {min=-0.043, max=0.650}; {min=-0.022, max=0.032}; 13; 6; 1
5; 0.833; 0.019073; 0.000000; 0.095365; 0.076128; 0.041624; 0.445055; {min=-0.112, max=0.650}; {min=-0.022, max=0.036}; 13; 6; 1
6; 0.800; 0.006262; 0.000000; 0.095365; 0.069800; 0.038541; 0.369458; {min=-0.112, max=0.650}; {min=-0.026, max=0.047}; 13; 6; 1
7; 0.767; 0.020408; 0.000000; 0.095365; 0.069800; 0.038541; 0.369458; {min=-0.112, max=0.650}; {min=-0.026, max=0.049}; 13; 6; 1
8; 0.733; 0.011595; 0.000000; 0.095365; 0.068097; 0.037513; 0.368687; {min=-0.112, max=0.650}; {min=-0.029, max=0.066}; 13; 6; 1
9; 0.700; 0.022988; 0.000000; 0.095365; 0.068097; 0.037513; 0.368687; {min=-0.112, max=0.650}; {min=-0.029, max=0.067}; 13; 6; 1
10; 0.667; 0.021577; 0.000000; 0.095365; 0.068097; 0.037513; 0.368687; {min=-0.112, max=0.650}; {min=-0.032, max=0.083}; 13; 6; 1
11; 0.633; 0.024366; 0.000000; 0.095365; 0.066324; 0.036485; 0.364103; {min=-0.112, max=0.650}; {min=-0.033, max=0.101}; 13; 6; 1
12; 0.600; 0.021486; 0.000000; 0.095365; 0.066324; 0.036485; 0.364103; {min=-0.112, max=0.650}; {min=-0.041, max=0.112}; 14; 5; 1
13; 0.567; 0.017302; 0.000000; 0.095365; 0.066324; 0.036485; 0.364103; {min=-0.112, max=0.650}; {min=-0.041, max=0.121}; 14; 5; 1
14; 0.533; 0.015773; 0.000000; 0.095365; 0.066324; 0.036485; 0.364103; {min=-0.112, max=0.650}; {min=-0.040, max=0.127}; 14; 5; 1
15; 0.500; 0.012480; 0.000000; 0.095365; 0.066324; 0.036485; 0.364103; {min=-0.112, max=0.650}; {min=-0.045, max=0.130}; 15; 4; 1
16; 0.467; 0.011810; 0.000000; 0.095365; 0.066324; 0.036485; 0.364103; {min=-0.112, max=0.650}; {min=-0.047, max=0.136}; 15; 4; 1
