epoch;epsilon;loss;randomF1;oracleF1;rougeF1;rougeRecall;rougePrecision;actual;pred;nselect;nskip;query
0; 1.000; 0.000250; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.048, max=0.072}; 12; 7; 1
1; 0.900; 0.000187; 0.000000; 0.095365; 0.055159; 0.029805; 0.369427; {min=0.000, max=0.008}; {min=-0.024, max=0.036}; 12; 7; 1
2; 0.800; 0.000097; 0.000000; 0.095365; 0.091719; 0.052929; 0.343333; {min=-0.003, max=0.008}; {min=-0.022, max=0.027}; 13; 6; 1
3; 0.700; 0.000074; 0.000000; 0.095365; 0.091719; 0.052929; 0.343333; {min=-0.003, max=0.008}; {min=-0.024, max=0.025}; 13; 6; 1
4; 0.600; 0.000044; 0.000000; 0.095365; 0.091719; 0.052929; 0.343333; {min=-0.003, max=0.008}; {min=-0.028, max=0.023}; 14; 5; 1
5; 0.500; 0.000041; 0.000000; 0.095365; 0.092609; 0.053443; 0.346667; {min=0.000, max=0.008}; {min=-0.028, max=0.023}; 14; 5; 1
6; 0.400; 0.000039; 0.000000; 0.095365; 0.092609; 0.053443; 0.346667; {min=0.000, max=0.008}; {min=-0.027, max=0.024}; 13; 6; 1
7; 0.300; 0.000037; 0.000000; 0.095365; 0.092609; 0.053443; 0.346667; {min=0.000, max=0.008}; {min=-0.027, max=0.025}; 15; 4; 1
8; 0.200; 0.000039; 0.000000; 0.095365; 0.092609; 0.053443; 0.346667; {min=0.000, max=0.008}; {min=-0.025, max=0.026}; 15; 4; 1
9; 0.100; 0.000024; 0.000000; 0.095365; 0.092609; 0.053443; 0.346667; {min=0.000, max=0.008}; {min=-0.028, max=0.022}; 15; 4; 1
10; 0.000; 0.000027; 0.000000; 0.095365; 0.092609; 0.053443; 0.346667; {min=0.000, max=0.008}; {min=-0.028, max=0.021}; 15; 4; 1
11; 0.000; 0.000029; 0.000000; 0.095365; 0.092609; 0.053443; 0.346667; {min=0.000, max=0.008}; {min=-0.028, max=0.019}; 15; 4; 1
