epoch;epsilon;loss;randomF1;oracleF1;rougeF1;rougeRecall;rougePrecision;actual;pred;nselect;nskip;query
0; 1.000; 0.020761; 0.140695; 0.175423; 0.140695; 0.081192; 0.526667; {min=-0.041, max=0.019}; {min=-0.366, max=0.190}; 96; 103; 1
0; 1.000; 0.012883; 0.201517; 0.383532; 0.201517; 0.149278; 0.310000; {min=-0.060, max=0.030}; {min=-0.148, max=0.228}; 96; 103; 2
0; 1.000; 0.009134; 0.045147; 0.080512; 0.045147; 0.023923; 0.400000; {min=-0.013, max=0.008}; {min=-0.177, max=0.285}; 96; 103; 3
1; 0.990; 0.006259; 0.045147; 0.175423; 0.132680; 0.076567; 0.496667; {min=-0.034, max=0.019}; {min=-0.249, max=0.124}; 98; 101; 1
1; 0.990; 0.006284; 0.045147; 0.383532; 0.158180; 0.117175; 0.243333; {min=-0.047, max=0.030}; {min=-0.130, max=0.275}; 97; 102; 2
1; 0.990; 0.007034; 0.045147; 0.080512; 0.045147; 0.023923; 0.400000; {min=-0.013, max=0.007}; {min=-0.156, max=0.269}; 98; 101; 3
2; 0.980; 0.005876; 0.045147; 0.175423; 0.106857; 0.061665; 0.400000; {min=-0.034, max=0.019}; {min=-0.211, max=0.115}; 97; 102; 1
2; 0.980; 0.005810; 0.045147; 0.383532; 0.138678; 0.102729; 0.213333; {min=-0.042, max=0.027}; {min=-0.167, max=0.241}; 96; 103; 2
2; 0.980; 0.005609; 0.045147; 0.080512; 0.043266; 0.022927; 0.383333; {min=-0.011, max=0.006}; {min=-0.158, max=0.219}; 97; 102; 3
3; 0.970; 0.004885; 0.045147; 0.175423; 0.113980; 0.065776; 0.426667; {min=-0.033, max=0.019}; {min=-0.211, max=0.115}; 96; 103; 1
3; 0.970; 0.005529; 0.045147; 0.383532; 0.151679; 0.112360; 0.233333; {min=-0.046, max=0.026}; {min=-0.163, max=0.244}; 96; 103; 2
3; 0.970; 0.004628; 0.045147; 0.080512; 0.043266; 0.022927; 0.383333; {min=-0.011, max=0.006}; {min=-0.159, max=0.196}; 97; 102; 3
4; 0.960; 0.004068; 0.045147; 0.175423; 0.113980; 0.065776; 0.426667; {min=-0.033, max=0.019}; {min=-0.206, max=0.116}; 95; 104; 1
