epoch;epsilon;loss;randomF1;oracleF1;rougeF1;rougeRecall;rougePrecision;actual;pred;nselect;nskip;query
0; 1.000; 0.006935; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.101, max=0.195}; 12; 7; 1
1; 0.967; 0.004965; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.076, max=0.157}; 12; 7; 1
2; 0.933; 0.003845; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.071, max=0.136}; 12; 7; 1
3; 0.900; 0.002925; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.068, max=0.120}; 12; 7; 1
4; 0.867; 0.002261; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.065, max=0.109}; 10; 9; 1
5; 0.833; 0.011729; 0.000000; 0.095365; 0.016235; 0.008222; 0.640000; {min=0.000, max=0.640}; {min=-0.052, max=0.117}; 10; 9; 1
6; 0.800; 0.005704; 0.000000; 0.095365; 0.079519; 0.044193; 0.396313; {min=-0.066, max=0.640}; {min=-0.040, max=0.125}; 13; 6; 1
7; 0.767; 0.014832; 0.000000; 0.095365; 0.085009; 0.047790; 0.384298; {min=-0.066, max=0.640}; {min=-0.052, max=0.106}; 13; 6; 1
8; 0.733; 0.011124; 0.000000; 0.095365; 0.102404; 0.059096; 0.383333; {min=-0.120, max=0.640}; {min=-0.057, max=0.096}; 13; 6; 1
9; 0.700; 0.016862; 0.000000; 0.095365; 0.102404; 0.059096; 0.383333; {min=-0.120, max=0.640}; {min=-0.065, max=0.092}; 13; 6; 1
10; 0.667; 0.010963; 0.000000; 0.095365; 0.102404; 0.059096; 0.383333; {min=-0.120, max=0.640}; {min=-0.073, max=0.110}; 13; 6; 1
11; 0.633; 0.021469; 0.000000; 0.095365; 0.102404; 0.059096; 0.383333; {min=-0.120, max=0.640}; {min=-0.080, max=0.112}; 13; 6; 1
12; 0.600; 0.017990; 0.000000; 0.095365; 0.102404; 0.059096; 0.383333; {min=-0.120, max=0.640}; {min=-0.085, max=0.126}; 14; 5; 1
13; 0.567; 0.015074; 0.000000; 0.095365; 0.102404; 0.059096; 0.383333; {min=-0.120, max=0.640}; {min=-0.088, max=0.135}; 14; 5; 1
14; 0.533; 0.014955; 0.000000; 0.095365; 0.102404; 0.059096; 0.383333; {min=-0.120, max=0.640}; {min=-0.090, max=0.138}; 14; 5; 1
15; 0.500; 0.004398; 0.000000; 0.095365; 0.102404; 0.059096; 0.383333; {min=-0.120, max=0.640}; {min=-0.093, max=0.142}; 15; 4; 1
16; 0.467; 0.006950; 0.000000; 0.095365; 0.102404; 0.059096; 0.383333; {min=-0.120, max=0.640}; {min=-0.094, max=0.144}; 15; 4; 1
17; 0.433; 0.006788; 0.000000; 0.095365; 0.102404; 0.059096; 0.383333; {min=-0.120, max=0.640}; {min=-0.093, max=0.148}; 15; 4; 1
18; 0.400; 0.004107; 0.000000; 0.095365; 0.102404; 0.059096; 0.383333; {min=-0.120, max=0.640}; {min=-0.093, max=0.149}; 15; 4; 1
19; 0.367; 0.006135; 0.000000; 0.095365; 0.102404; 0.059096; 0.383333; {min=-0.120, max=0.640}; {min=-0.092, max=0.156}; 15; 4; 1
20; 0.333; 0.004492; 0.000000; 0.095365; 0.102404; 0.059096; 0.383333; {min=-0.120, max=0.640}; {min=-0.092, max=0.159}; 15; 4; 1
21; 0.300; 0.004195; 0.000000; 0.095365; 0.102404; 0.059096; 0.383333; {min=-0.120, max=0.640}; {min=-0.091, max=0.159}; 15; 4; 1
22; 0.267; 0.006566; 0.000000; 0.095365; 0.102404; 0.059096; 0.383333; {min=-0.120, max=0.640}; {min=-0.090, max=0.165}; 14; 5; 1
23; 0.233; 0.006614; 0.000000; 0.095365; 0.102404; 0.059096; 0.383333; {min=-0.120, max=0.640}; {min=-0.088, max=0.170}; 14; 5; 1
24; 0.200; 0.004418; 0.000000; 0.095365; 0.103093; 0.059096; 0.403509; {min=-0.120, max=0.640}; {min=-0.088, max=0.174}; 13; 6; 1
25; 0.167; 0.006287; 0.000000; 0.095365; 0.103093; 0.059096; 0.403509; {min=-0.120, max=0.640}; {min=-0.088, max=0.176}; 13; 6; 1
26; 0.133; 0.007781; 0.000000; 0.095365; 0.103093; 0.059096; 0.403509; {min=-0.120, max=0.640}; {min=-0.088, max=0.181}; 12; 7; 1
27; 0.100; 0.006708; 0.000000; 0.095365; 0.103093; 0.059096; 0.403509; {min=-0.120, max=0.640}; {min=-0.086, max=0.187}; 12; 7; 1
28; 0.067; 0.007322; 0.000000; 0.095365; 0.103093; 0.059096; 0.403509; {min=-0.120, max=0.640}; {min=-0.087, max=0.186}; 13; 6; 1
29; 0.050; 0.005029; 0.000000; 0.095365; 0.103093; 0.059096; 0.403509; {min=-0.120, max=0.640}; {min=-0.086, max=0.195}; 13; 6; 1
30; 0.050; 0.007836; 0.000000; 0.095365; 0.103093; 0.059096; 0.403509; {min=-0.120, max=0.640}; {min=-0.089, max=0.191}; 13; 6; 1
31; 0.050; 0.006009; 0.000000; 0.095365; 0.103093; 0.059096; 0.403509; {min=-0.120, max=0.640}; {min=-0.089, max=0.197}; 13; 6; 1
32; 0.050; 0.007986; 0.000000; 0.095365; 0.103093; 0.059096; 0.403509; {min=-0.120, max=0.640}; {min=-0.092, max=0.199}; 13; 6; 1
33; 0.050; 0.007818; 0.000000; 0.095365; 0.100635; 0.057040; 0.426923; {min=-0.120, max=0.640}; {min=-0.092, max=0.203}; 12; 7; 1
34; 0.050; 0.005985; 0.000000; 0.095365; 0.100635; 0.057040; 0.426923; {min=-0.120, max=0.640}; {min=-0.094, max=0.207}; 12; 7; 1
35; 0.050; 0.008026; 0.000000; 0.095365; 0.100635; 0.057040; 0.426923; {min=-0.120, max=0.640}; {min=-0.094, max=0.211}; 12; 7; 1
36; 0.050; 0.006207; 0.000000; 0.095365; 0.100635; 0.057040; 0.426923; {min=-0.120, max=0.640}; {min=-0.098, max=0.211}; 12; 7; 1
37; 0.050; 0.006140; 0.000000; 0.095365; 0.100635; 0.057040; 0.426923; {min=-0.120, max=0.640}; {min=-0.102, max=0.211}; 12; 7; 1
38; 0.050; 0.007291; 0.000000; 0.095365; 0.100635; 0.057040; 0.426923; {min=-0.120, max=0.640}; {min=-0.104, max=0.213}; 12; 7; 1
39; 0.050; 0.007424; 0.000000; 0.095365; 0.100635; 0.057040; 0.426923; {min=-0.120, max=0.640}; {min=-0.105, max=0.218}; 12; 7; 1
40; 0.050; 0.007389; 0.000000; 0.095365; 0.100635; 0.057040; 0.426923; {min=-0.120, max=0.640}; {min=-0.106, max=0.222}; 12; 7; 1
41; 0.050; 0.006167; 0.000000; 0.095365; 0.100635; 0.057040; 0.426923; {min=-0.120, max=0.640}; {min=-0.107, max=0.227}; 12; 7; 1
42; 0.050; 0.007081; 0.000000; 0.095365; 0.100635; 0.057040; 0.426923; {min=-0.120, max=0.640}; {min=-0.110, max=0.226}; 12; 7; 1
43; 0.050; 0.006869; 0.000000; 0.095365; 0.095064; 0.053443; 0.429752; {min=-0.120, max=0.640}; {min=-0.111, max=0.231}; 11; 8; 1
44; 0.050; 0.005949; 0.000000; 0.095365; 0.095064; 0.053443; 0.429752; {min=-0.120, max=0.640}; {min=-0.112, max=0.234}; 11; 8; 1
45; 0.050; 0.006190; 0.000000; 0.095365; 0.095064; 0.053443; 0.429752; {min=-0.120, max=0.640}; {min=-0.115, max=0.235}; 11; 8; 1
46; 0.050; 0.006967; 0.000000; 0.095365; 0.095064; 0.053443; 0.429752; {min=-0.120, max=0.640}; {min=-0.117, max=0.236}; 11; 8; 1
47; 0.050; 0.007345; 0.000000; 0.095365; 0.095064; 0.053443; 0.429752; {min=-0.120, max=0.640}; {min=-0.119, max=0.239}; 11; 8; 1
48; 0.050; 0.006865; 0.000000; 0.095365; 0.095064; 0.053443; 0.429752; {min=-0.120, max=0.640}; {min=-0.120, max=0.242}; 11; 8; 1
49; 0.050; 0.005995; 0.000000; 0.095365; 0.095064; 0.053443; 0.429752; {min=-0.120, max=0.640}; {min=-0.123, max=0.243}; 11; 8; 1
50; 0.050; 0.005908; 0.000000; 0.095365; 0.095064; 0.053443; 0.429752; {min=-0.120, max=0.640}; {min=-0.125, max=0.242}; 11; 8; 1
51; 0.050; 0.006545; 0.000000; 0.095365; 0.095064; 0.053443; 0.429752; {min=-0.120, max=0.640}; {min=-0.126, max=0.246}; 11; 8; 1
52; 0.050; 0.005639; 0.000000; 0.095365; 0.095064; 0.053443; 0.429752; {min=-0.120, max=0.640}; {min=-0.126, max=0.251}; 11; 8; 1
53; 0.050; 0.006168; 0.000000; 0.095365; 0.095064; 0.053443; 0.429752; {min=-0.120, max=0.640}; {min=-0.127, max=0.255}; 11; 8; 1
54; 0.050; 0.006015; 0.000000; 0.095365; 0.095064; 0.053443; 0.429752; {min=-0.120, max=0.640}; {min=-0.128, max=0.257}; 11; 8; 1
55; 0.050; 0.006545; 0.000000; 0.095365; 0.095064; 0.053443; 0.429752; {min=-0.120, max=0.640}; {min=-0.131, max=0.259}; 11; 8; 1
56; 0.050; 0.004872; 0.000000; 0.095365; 0.095064; 0.053443; 0.429752; {min=-0.120, max=0.640}; {min=-0.132, max=0.261}; 11; 8; 1
57; 0.050; 0.006190; 0.000000; 0.095365; 0.095064; 0.053443; 0.429752; {min=-0.120, max=0.640}; {min=-0.134, max=0.262}; 11; 8; 1
58; 0.050; 0.005720; 0.000000; 0.095365; 0.095064; 0.053443; 0.429752; {min=-0.120, max=0.640}; {min=-0.134, max=0.266}; 11; 8; 1
59; 0.050; 0.006081; 0.000000; 0.095365; 0.095064; 0.053443; 0.429752; {min=-0.120, max=0.640}; {min=-0.136, max=0.268}; 11; 8; 1
60; 0.050; 0.006280; 0.000000; 0.095365; 0.085067; 0.047276; 0.423963; {min=-0.120, max=0.640}; {min=-0.139, max=0.266}; 10; 9; 1
61; 0.050; 0.006338; 0.000000; 0.095365; 0.095064; 0.053443; 0.429752; {min=-0.120, max=0.640}; {min=-0.139, max=0.268}; 11; 8; 1
62; 0.050; 0.006446; 0.000000; 0.095365; 0.095064; 0.053443; 0.429752; {min=-0.120, max=0.640}; {min=-0.141, max=0.269}; 11; 8; 1
63; 0.050; 0.005931; 0.000000; 0.095365; 0.085067; 0.047276; 0.423963; {min=-0.120, max=0.640}; {min=-0.143, max=0.271}; 10; 9; 1
64; 0.050; 0.006053; 0.000000; 0.095365; 0.085067; 0.047276; 0.423963; {min=-0.120, max=0.640}; {min=-0.144, max=0.271}; 10; 9; 1
65; 0.050; 0.005898; 0.000000; 0.095365; 0.095064; 0.053443; 0.429752; {min=-0.120, max=0.640}; {min=-0.144, max=0.276}; 11; 8; 1
66; 0.050; 0.006926; 0.000000; 0.095365; 0.095064; 0.053443; 0.429752; {min=-0.120, max=0.640}; {min=-0.145, max=0.278}; 11; 8; 1
67; 0.050; 0.006174; 0.000000; 0.095365; 0.095064; 0.053443; 0.429752; {min=-0.120, max=0.640}; {min=-0.146, max=0.280}; 11; 8; 1
68; 0.050; 0.005657; 0.000000; 0.095365; 0.085067; 0.047276; 0.423963; {min=-0.120, max=0.640}; {min=-0.148, max=0.282}; 10; 9; 1
69; 0.050; 0.006097; 0.000000; 0.095365; 0.085067; 0.047276; 0.423963; {min=-0.120, max=0.640}; {min=-0.150, max=0.283}; 10; 9; 1
70; 0.050; 0.005894; 0.000000; 0.095365; 0.085067; 0.047276; 0.423963; {min=-0.120, max=0.640}; {min=-0.150, max=0.285}; 10; 9; 1
