epoch;epsilon;loss;randomF1;oracleF1;rougeF1;rougeRecall;rougePrecision;actual;pred;nselect;nskip;query
0; 1.000; 0.029258; 0.081033; 0.095365; 0.081033; 0.046763; 0.303333; {min=-0.005, max=0.008}; {min=-0.164, max=0.303}; 12; 7; 1
1; 0.967; 0.020228; 0.081033; 0.095365; 0.081033; 0.046763; 0.303333; {min=-0.005, max=0.008}; {min=-0.145, max=0.251}; 12; 7; 1
2; 0.933; 0.015045; 0.081033; 0.095365; 0.085485; 0.049332; 0.320000; {min=-0.002, max=0.008}; {min=-0.143, max=0.223}; 12; 7; 1
3; 0.900; 0.011446; 0.081033; 0.095365; 0.089047; 0.051387; 0.333333; {min=-0.002, max=0.008}; {min=-0.133, max=0.202}; 13; 6; 1
4; 0.867; 0.009126; 0.081033; 0.095365; 0.089047; 0.051387; 0.333333; {min=-0.002, max=0.008}; {min=-0.120, max=0.187}; 13; 6; 1
5; 0.833; 0.007982; 0.081033; 0.095365; 0.089047; 0.051387; 0.333333; {min=-0.002, max=0.008}; {min=-0.118, max=0.175}; 13; 6; 1
6; 0.800; 0.005690; 0.081033; 0.095365; 0.089047; 0.051387; 0.333333; {min=-0.002, max=0.008}; {min=-0.114, max=0.165}; 13; 6; 1
7; 0.767; 0.005453; 0.081033; 0.095365; 0.089047; 0.051387; 0.333333; {min=-0.002, max=0.008}; {min=-0.106, max=0.157}; 13; 6; 1
8; 0.733; 0.004561; 0.081033; 0.095365; 0.089047; 0.051387; 0.333333; {min=-0.002, max=0.008}; {min=-0.104, max=0.150}; 13; 6; 1
9; 0.700; 0.004009; 0.081033; 0.095365; 0.089047; 0.051387; 0.333333; {min=-0.002, max=0.008}; {min=-0.104, max=0.143}; 13; 6; 1
10; 0.667; 0.003102; 0.081033; 0.095365; 0.100623; 0.058068; 0.376667; {min=0.000, max=0.008}; {min=-0.098, max=0.139}; 13; 6; 1
11; 0.633; 0.002948; 0.081033; 0.095365; 0.100623; 0.058068; 0.376667; {min=0.000, max=0.008}; {min=-0.095, max=0.135}; 13; 6; 1
12; 0.600; 0.002900; 0.081033; 0.095365; 0.100623; 0.058068; 0.376667; {min=0.000, max=0.008}; {min=-0.093, max=0.131}; 14; 5; 1
13; 0.567; 0.002542; 0.081033; 0.095365; 0.100623; 0.058068; 0.376667; {min=0.000, max=0.008}; {min=-0.093, max=0.127}; 14; 5; 1
14; 0.533; 0.002173; 0.081033; 0.095365; 0.098610; 0.056526; 0.385965; {min=0.000, max=0.008}; {min=-0.088, max=0.120}; 14; 5; 1
15; 0.500; 0.002794; 0.081033; 0.095365; 0.089755; 0.050874; 0.380769; {min=0.000, max=0.008}; {min=-0.084, max=0.118}; 14; 5; 1
16; 0.467; 0.002385; 0.081033; 0.095365; 0.089755; 0.050874; 0.380769; {min=0.000, max=0.008}; {min=-0.085, max=0.116}; 14; 5; 1
17; 0.433; 0.002362; 0.081033; 0.095365; 0.089755; 0.050874; 0.380769; {min=0.000, max=0.008}; {min=-0.090, max=0.114}; 14; 5; 1
18; 0.400; 0.002318; 0.081033; 0.095365; 0.089755; 0.050874; 0.380769; {min=0.000, max=0.008}; {min=-0.086, max=0.111}; 14; 5; 1
