...Utils file loaded	
...running on GPU	
training model with learning rate = 0.050, K = 10, J = 20, threshold = 0.010, embedding size = 50, and batch size = 200...	
Running BOW model	
Epoch 0, epsilon = 1.000, sum(y)/len(y) = 488/1000, {Recall = 0.633445, Precision = 0.332579, F1 = 0.436160}, query = aurora	
Epoch 1, epsilon = 0.980, sum(y)/len(y) = 587/1000, {Recall = 0.662195, Precision = 0.289545, F1 = 0.402915}, query = aurora	
Epoch 2, epsilon = 0.960, sum(y)/len(y) = 486/1000, {Recall = 0.630570, Precision = 0.330653, F1 = 0.433822}, query = aurora	
Epoch 3, epsilon = 0.940, sum(y)/len(y) = 511/1000, {Recall = 0.631049, Precision = 0.316815, F1 = 0.421845}, query = aurora	
Epoch 4, epsilon = 0.920, sum(y)/len(y) = 486/1000, {Recall = 0.630091, Precision = 0.331318, F1 = 0.434280}, query = aurora	
Epoch 5, epsilon = 0.900, sum(y)/len(y) = 408/1000, {Recall = 0.597988, Precision = 0.375564, F1 = 0.461368}, query = aurora	
Epoch 6, epsilon = 0.880, sum(y)/len(y) = 515/1000, {Recall = 0.641112, Precision = 0.316761, F1 = 0.424022}, query = aurora	
Epoch 7, epsilon = 0.860, sum(y)/len(y) = 695/1000, {Recall = 0.686152, Precision = 0.253766, F1 = 0.370505}, query = aurora	
Epoch 8, epsilon = 0.840, sum(y)/len(y) = 604/1000, {Recall = 0.671299, Precision = 0.282631, F1 = 0.397785}, query = aurora	
Epoch 9, epsilon = 0.820, sum(y)/len(y) = 603/1000, {Recall = 0.649257, Precision = 0.274736, F1 = 0.386095}, query = aurora	
Epoch 10, epsilon = 0.800, sum(y)/len(y) = 773/1000, {Recall = 0.679923, Precision = 0.224312, F1 = 0.337335}, query = aurora	
Epoch 11, epsilon = 0.780, sum(y)/len(y) = 335/1000, {Recall = 0.551509, Precision = 0.411954, F1 = 0.471625}, query = aurora	
Epoch 12, epsilon = 0.760, sum(y)/len(y) = 186/1000, {Recall = 0.381888, Precision = 0.534182, F1 = 0.445376}, query = aurora	
Epoch 13, epsilon = 0.740, sum(y)/len(y) = 306/1000, {Recall = 0.512698, Precision = 0.431452, F1 = 0.468579}, query = aurora	
Epoch 14, epsilon = 0.720, sum(y)/len(y) = 385/1000, {Recall = 0.579780, Precision = 0.385350, F1 = 0.462981}, query = aurora	
Epoch 15, epsilon = 0.700, sum(y)/len(y) = 350/1000, {Recall = 0.544801, Precision = 0.393426, F1 = 0.456902}, query = aurora	
Epoch 16, epsilon = 0.680, sum(y)/len(y) = 414/1000, {Recall = 0.586967, Precision = 0.362748, F1 = 0.448389}, query = aurora	
Epoch 17, epsilon = 0.660, sum(y)/len(y) = 404/1000, {Recall = 0.591279, Precision = 0.370905, F1 = 0.455855}, query = aurora	
Epoch 18, epsilon = 0.640, sum(y)/len(y) = 297/1000, {Recall = 0.550551, Precision = 0.476368, F1 = 0.510780}, query = aurora	
Epoch 19, epsilon = 0.620, sum(y)/len(y) = 514/1000, {Recall = 0.640153, Precision = 0.323330, F1 = 0.429651}, query = aurora	
Epoch 20, epsilon = 0.600, sum(y)/len(y) = 192/1000, {Recall = 0.411596, Precision = 0.544705, F1 = 0.468886}, query = aurora	
Epoch 21, epsilon = 0.580, sum(y)/len(y) = 389/1000, {Recall = 0.564926, Precision = 0.371456, F1 = 0.448204}, query = aurora	
Epoch 22, epsilon = 0.560, sum(y)/len(y) = 302/1000, {Recall = 0.528031, Precision = 0.456504, F1 = 0.489669}, query = aurora	
Epoch 23, epsilon = 0.540, sum(y)/len(y) = 495/1000, {Recall = 0.626258, Precision = 0.323835, F1 = 0.426915}, query = aurora	
Epoch 24, epsilon = 0.520, sum(y)/len(y) = 100/1000, {Recall = 0.242932, Precision = 0.650000, F1 = 0.353680}, query = aurora	
Epoch 25, epsilon = 0.500, sum(y)/len(y) = 93/1000, {Recall = 0.252516, Precision = 0.687093, F1 = 0.369306}, query = aurora	
Epoch 26, epsilon = 0.480, sum(y)/len(y) = 405/1000, {Recall = 0.580259, Precision = 0.363445, F1 = 0.446946}, query = aurora	
Epoch 27, epsilon = 0.460, sum(y)/len(y) = 307/1000, {Recall = 0.517968, Precision = 0.434311, F1 = 0.472465}, query = aurora	
Epoch 28, epsilon = 0.440, sum(y)/len(y) = 587/1000, {Recall = 0.663153, Precision = 0.285596, F1 = 0.399250}, query = aurora	
Epoch 29, epsilon = 0.420, sum(y)/len(y) = 642/1000, {Recall = 0.649736, Precision = 0.257403, F1 = 0.368729}, query = aurora	
Epoch 30, epsilon = 0.400, sum(y)/len(y) = 314/1000, {Recall = 0.529947, Precision = 0.422460, F1 = 0.470138}, query = aurora	
Epoch 31, epsilon = 0.380, sum(y)/len(y) = 485/1000, {Recall = 0.614279, Precision = 0.324229, F1 = 0.424433}, query = aurora	
Epoch 32, epsilon = 0.360, sum(y)/len(y) = 445/1000, {Recall = 0.609487, Precision = 0.348302, F1 = 0.443283}, query = aurora	
Epoch 33, epsilon = 0.340, sum(y)/len(y) = 748/1000, {Recall = 0.695736, Precision = 0.237410, F1 = 0.354017}, query = aurora	
Epoch 34, epsilon = 0.320, sum(y)/len(y) = 305/1000, {Recall = 0.501198, Precision = 0.422968, F1 = 0.458772}, query = aurora	
Epoch 35, epsilon = 0.300, sum(y)/len(y) = 561/1000, {Recall = 0.624820, Precision = 0.289456, F1 = 0.395631}, query = aurora	
Epoch 36, epsilon = 0.280, sum(y)/len(y) = 245/1000, {Recall = 0.415908, Precision = 0.444900, F1 = 0.429916}, query = aurora	
Epoch 37, epsilon = 0.260, sum(y)/len(y) = 607/1000, {Recall = 0.638716, Precision = 0.271597, F1 = 0.381129}, query = aurora	
Epoch 38, epsilon = 0.240, sum(y)/len(y) = 374/1000, {Recall = 0.517010, Precision = 0.363667, F1 = 0.426989}, query = aurora	
Epoch 39, epsilon = 0.220, sum(y)/len(y) = 493/1000, {Recall = 0.613800, Precision = 0.321133, F1 = 0.421659}, query = aurora	
Epoch 40, epsilon = 0.200, sum(y)/len(y) = 335/1000, {Recall = 0.491615, Precision = 0.382550, F1 = 0.430279}, query = aurora	
Epoch 41, epsilon = 0.180, sum(y)/len(y) = 782/1000, {Recall = 0.696694, Precision = 0.231455, F1 = 0.347473}, query = aurora	
Epoch 42, epsilon = 0.160, sum(y)/len(y) = 287/1000, {Recall = 0.466699, Precision = 0.420734, F1 = 0.442526}, query = aurora	
Epoch 43, epsilon = 0.140, sum(y)/len(y) = 886/1000, {Recall = 0.714902, Precision = 0.207078, F1 = 0.321136}, query = aurora	
Epoch 44, epsilon = 0.120, sum(y)/len(y) = 435/1000, {Recall = 0.586488, Precision = 0.343820, F1 = 0.433505}, query = aurora	
Epoch 45, epsilon = 0.100, sum(y)/len(y) = 375/1000, {Recall = 0.526114, Precision = 0.360591, F1 = 0.427903}, query = aurora	
Epoch 46, epsilon = 0.100, sum(y)/len(y) = 425/1000, {Recall = 0.554863, Precision = 0.336139, F1 = 0.418655}, query = aurora	
Epoch 47, epsilon = 0.100, sum(y)/len(y) = 529/1000, {Recall = 0.614279, Precision = 0.301576, F1 = 0.404544}, query = aurora	
Epoch 48, epsilon = 0.100, sum(y)/len(y) = 331/1000, {Recall = 0.472928, Precision = 0.378887, F1 = 0.420716}, query = aurora	
Epoch 49, epsilon = 0.100, sum(y)/len(y) = 424/1000, {Recall = 0.561092, Precision = 0.341399, F1 = 0.424506}, query = aurora	
Epoch 50, epsilon = 0.100, sum(y)/len(y) = 591/1000, {Recall = 0.628654, Precision = 0.276327, F1 = 0.383906}, query = aurora	
