...Utils file loaded	
...running on GPU	
training model with learning rate = 0.050, K = 10, J = 20, threshold = 0.010, embedding size = 50, and batch size = 200...	
Running BOW model	
Epoch 0, epsilon = 1.000, sum(y)/len(y) = 488/1000, {Recall = 0.633445, Precision = 0.332579, F1 = 0.436160}, query = aurora	
Epoch 1, epsilon = 0.980, sum(y)/len(y) = 587/1000, {Recall = 0.661715, Precision = 0.289396, F1 = 0.402683}, query = aurora	
Epoch 2, epsilon = 0.960, sum(y)/len(y) = 486/1000, {Recall = 0.630570, Precision = 0.330653, F1 = 0.433822}, query = aurora	
Epoch 3, epsilon = 0.940, sum(y)/len(y) = 511/1000, {Recall = 0.631049, Precision = 0.316815, F1 = 0.421845}, query = aurora	
Epoch 4, epsilon = 0.920, sum(y)/len(y) = 486/1000, {Recall = 0.630091, Precision = 0.331318, F1 = 0.434280}, query = aurora	
Epoch 5, epsilon = 0.900, sum(y)/len(y) = 456/1000, {Recall = 0.611404, Precision = 0.341085, F1 = 0.437886}, query = aurora	
Epoch 6, epsilon = 0.880, sum(y)/len(y) = 515/1000, {Recall = 0.641112, Precision = 0.316761, F1 = 0.424022}, query = aurora	
Epoch 7, epsilon = 0.860, sum(y)/len(y) = 545/1000, {Recall = 0.648299, Precision = 0.304113, F1 = 0.414015}, query = aurora	
Epoch 8, epsilon = 0.840, sum(y)/len(y) = 516/1000, {Recall = 0.641112, Precision = 0.316387, F1 = 0.423686}, query = aurora	
Epoch 9, epsilon = 0.820, sum(y)/len(y) = 569/1000, {Recall = 0.635841, Precision = 0.283486, F1 = 0.392139}, query = aurora	
Epoch 10, epsilon = 0.800, sum(y)/len(y) = 247/1000, {Recall = 0.487782, Precision = 0.496585, F1 = 0.492144}, query = aurora	
Epoch 11, epsilon = 0.780, sum(y)/len(y) = 439/1000, {Recall = 0.606133, Precision = 0.347814, F1 = 0.441999}, query = aurora	
Epoch 12, epsilon = 0.760, sum(y)/len(y) = 406/1000, {Recall = 0.583613, Precision = 0.363257, F1 = 0.447794}, query = aurora	
Epoch 13, epsilon = 0.740, sum(y)/len(y) = 384/1000, {Recall = 0.573551, Precision = 0.380362, F1 = 0.457394}, query = aurora	
Epoch 14, epsilon = 0.720, sum(y)/len(y) = 576/1000, {Recall = 0.645424, Precision = 0.285381, F1 = 0.395769}, query = aurora	
Epoch 15, epsilon = 0.700, sum(y)/len(y) = 700/1000, {Recall = 0.678965, Precision = 0.245666, F1 = 0.360789}, query = aurora	
Epoch 16, epsilon = 0.680, sum(y)/len(y) = 535/1000, {Recall = 0.636799, Precision = 0.302320, F1 = 0.409995}, query = aurora	
Epoch 17, epsilon = 0.660, sum(y)/len(y) = 423/1000, {Recall = 0.604696, Precision = 0.360160, F1 = 0.451440}, query = aurora	
Epoch 18, epsilon = 0.640, sum(y)/len(y) = 445/1000, {Recall = 0.616195, Precision = 0.351174, F1 = 0.447382}, query = aurora	
Epoch 19, epsilon = 0.620, sum(y)/len(y) = 514/1000, {Recall = 0.640153, Precision = 0.323330, F1 = 0.429651}, query = aurora	
Epoch 20, epsilon = 0.600, sum(y)/len(y) = 395/1000, {Recall = 0.585050, Precision = 0.372711, F1 = 0.455342}, query = aurora	
Epoch 21, epsilon = 0.580, sum(y)/len(y) = 481/1000, {Recall = 0.611883, Precision = 0.322882, F1 = 0.422708}, query = aurora	
Epoch 22, epsilon = 0.560, sum(y)/len(y) = 452/1000, {Recall = 0.601342, Precision = 0.341497, F1 = 0.435613}, query = aurora	
Epoch 23, epsilon = 0.540, sum(y)/len(y) = 495/1000, {Recall = 0.626258, Precision = 0.323835, F1 = 0.426915}, query = aurora	
Epoch 24, epsilon = 0.520, sum(y)/len(y) = 517/1000, {Recall = 0.611404, Precision = 0.299882, F1 = 0.402397}, query = aurora	
Epoch 25, epsilon = 0.500, sum(y)/len(y) = 209/1000, {Recall = 0.436033, Precision = 0.523892, F1 = 0.475941}, query = aurora	
Epoch 26, epsilon = 0.480, sum(y)/len(y) = 517/1000, {Recall = 0.635362, Precision = 0.310030, F1 = 0.416719}, query = aurora	
Epoch 27, epsilon = 0.460, sum(y)/len(y) = 393/1000, {Recall = 0.580738, Precision = 0.374768, F1 = 0.455553}, query = aurora	
Epoch 28, epsilon = 0.440, sum(y)/len(y) = 468/1000, {Recall = 0.624820, Precision = 0.336603, F1 = 0.437510}, query = aurora	
Epoch 29, epsilon = 0.420, sum(y)/len(y) = 284/1000, {Recall = 0.517010, Precision = 0.453552, F1 = 0.483206}, query = aurora	
Epoch 30, epsilon = 0.400, sum(y)/len(y) = 552/1000, {Recall = 0.637758, Precision = 0.291311, F1 = 0.399940}, query = aurora	
Epoch 31, epsilon = 0.380, sum(y)/len(y) = 415/1000, {Recall = 0.597988, Precision = 0.367599, F1 = 0.455308}, query = aurora	
Epoch 32, epsilon = 0.360, sum(y)/len(y) = 451/1000, {Recall = 0.609966, Precision = 0.344054, F1 = 0.439952}, query = aurora	
Epoch 33, epsilon = 0.340, sum(y)/len(y) = 459/1000, {Recall = 0.601342, Precision = 0.329051, F1 = 0.425352}, query = aurora	
Epoch 34, epsilon = 0.320, sum(y)/len(y) = 251/1000, {Recall = 0.466699, Precision = 0.468044, F1 = 0.467370}, query = aurora	
Epoch 35, epsilon = 0.300, sum(y)/len(y) = 379/1000, {Recall = 0.562051, Precision = 0.383459, F1 = 0.455888}, query = aurora	
Epoch 36, epsilon = 0.280, sum(y)/len(y) = 110/1000, {Recall = 0.245807, Precision = 0.566851, F1 = 0.342914}, query = aurora	
Epoch 37, epsilon = 0.260, sum(y)/len(y) = 262/1000, {Recall = 0.475803, Precision = 0.457393, F1 = 0.466416}, query = aurora	
Epoch 38, epsilon = 0.240, sum(y)/len(y) = 219/1000, {Recall = 0.404887, Precision = 0.460993, F1 = 0.431122}, query = aurora	
Epoch 39, epsilon = 0.220, sum(y)/len(y) = 418/1000, {Recall = 0.587925, Precision = 0.361947, F1 = 0.448056}, query = aurora	
Epoch 40, epsilon = 0.200, sum(y)/len(y) = 214/1000, {Recall = 0.398179, Precision = 0.465286, F1 = 0.429125}, query = aurora	
Epoch 41, epsilon = 0.180, sum(y)/len(y) = 240/1000, {Recall = 0.425970, Precision = 0.445391, F1 = 0.435464}, query = aurora	
Epoch 42, epsilon = 0.160, sum(y)/len(y) = 275/1000, {Recall = 0.459032, Precision = 0.418158, F1 = 0.437643}, query = aurora	
Epoch 43, epsilon = 0.140, sum(y)/len(y) = 300/1000, {Recall = 0.475803, Precision = 0.399437, F1 = 0.434288}, query = aurora	
Epoch 44, epsilon = 0.120, sum(y)/len(y) = 414/1000, {Recall = 0.575467, Precision = 0.345711, F1 = 0.431937}, query = aurora	
Epoch 45, epsilon = 0.100, sum(y)/len(y) = 535/1000, {Recall = 0.614279, Precision = 0.288090, F1 = 0.392229}, query = aurora	
Epoch 46, epsilon = 0.100, sum(y)/len(y) = 530/1000, {Recall = 0.612362, Precision = 0.289599, F1 = 0.393231}, query = aurora	
Epoch 47, epsilon = 0.100, sum(y)/len(y) = 825/1000, {Recall = 0.709152, Precision = 0.217296, F1 = 0.332659}, query = aurora	
Epoch 48, epsilon = 0.100, sum(y)/len(y) = 886/1000, {Recall = 0.717298, Precision = 0.203563, F1 = 0.317127}, query = aurora	
Epoch 49, epsilon = 0.100, sum(y)/len(y) = 811/1000, {Recall = 0.710589, Precision = 0.220357, F1 = 0.336396}, query = aurora	
Epoch 50, epsilon = 0.100, sum(y)/len(y) = 874/1000, {Recall = 0.716818, Precision = 0.205947, F1 = 0.319966}, query = aurora	
Epoch 51, epsilon = 0.100, sum(y)/len(y) = 842/1000, {Recall = 0.710589, Precision = 0.212130, F1 = 0.326724}, query = aurora	
