...Utils file loaded	
...running on GPU	
training model with learning rate = 0.050, K = 10, J = 20, threshold = 0.010, embedding size = 50, and batch size = 200...	
Running BOW model	
Epoch 0, epsilon = 1.000, sum(y)/len(y) = 488/1000, {Recall = 0.633445, Precision = 0.332579, F1 = 0.436160}, query = aurora	
Epoch 1, epsilon = 0.980, sum(y)/len(y) = 391/1000, {Recall = 0.575946, Precision = 0.382316, F1 = 0.459568}, query = aurora	
Epoch 2, epsilon = 0.960, sum(y)/len(y) = 486/1000, {Recall = 0.630570, Precision = 0.330653, F1 = 0.433822}, query = aurora	
Epoch 3, epsilon = 0.940, sum(y)/len(y) = 511/1000, {Recall = 0.631049, Precision = 0.316815, F1 = 0.421845}, query = aurora	
Epoch 4, epsilon = 0.920, sum(y)/len(y) = 486/1000, {Recall = 0.630091, Precision = 0.331318, F1 = 0.434280}, query = aurora	
Epoch 5, epsilon = 0.900, sum(y)/len(y) = 397/1000, {Recall = 0.590800, Precision = 0.382563, F1 = 0.464407}, query = aurora	
Epoch 6, epsilon = 0.880, sum(y)/len(y) = 515/1000, {Recall = 0.641112, Precision = 0.316761, F1 = 0.424022}, query = aurora	
Epoch 7, epsilon = 0.860, sum(y)/len(y) = 595/1000, {Recall = 0.656445, Precision = 0.281488, F1 = 0.394018}, query = aurora	
Epoch 8, epsilon = 0.840, sum(y)/len(y) = 406/1000, {Recall = 0.593675, Precision = 0.374207, F1 = 0.459059}, query = aurora	
Epoch 9, epsilon = 0.820, sum(y)/len(y) = 405/1000, {Recall = 0.592717, Precision = 0.374395, F1 = 0.458913}, query = aurora	
Epoch 10, epsilon = 0.800, sum(y)/len(y) = 185/1000, {Recall = 0.402492, Precision = 0.558511, F1 = 0.467836}, query = aurora	
Epoch 11, epsilon = 0.780, sum(y)/len(y) = 310/1000, {Recall = 0.539530, Precision = 0.435422, F1 = 0.481917}, query = aurora	
Epoch 12, epsilon = 0.760, sum(y)/len(y) = 206/1000, {Recall = 0.411596, Precision = 0.520291, F1 = 0.459604}, query = aurora	
Epoch 13, epsilon = 0.740, sum(y)/len(y) = 340/1000, {Recall = 0.540489, Precision = 0.408104, F1 = 0.465059}, query = aurora	
Epoch 14, epsilon = 0.720, sum(y)/len(y) = 515/1000, {Recall = 0.633445, Precision = 0.313493, F1 = 0.419416}, query = aurora	
Epoch 15, epsilon = 0.700, sum(y)/len(y) = 581/1000, {Recall = 0.641112, Precision = 0.278866, F1 = 0.388671}, query = aurora	
Epoch 16, epsilon = 0.680, sum(y)/len(y) = 416/1000, {Recall = 0.587446, Precision = 0.361332, F1 = 0.447445}, query = aurora	
Epoch 17, epsilon = 0.660, sum(y)/len(y) = 470/1000, {Recall = 0.619070, Precision = 0.330519, F1 = 0.430954}, query = aurora	
Epoch 18, epsilon = 0.640, sum(y)/len(y) = 528/1000, {Recall = 0.636320, Precision = 0.305568, F1 = 0.412871}, query = aurora	
Epoch 19, epsilon = 0.620, sum(y)/len(y) = 514/1000, {Recall = 0.640153, Precision = 0.323330, F1 = 0.429651}, query = aurora	
Epoch 20, epsilon = 0.600, sum(y)/len(y) = 214/1000, {Recall = 0.445137, Precision = 0.527541, F1 = 0.482848}, query = aurora	
Epoch 21, epsilon = 0.580, sum(y)/len(y) = 401/1000, {Recall = 0.573551, Precision = 0.365831, F1 = 0.446725}, query = aurora	
Epoch 22, epsilon = 0.560, sum(y)/len(y) = 317/1000, {Recall = 0.537135, Precision = 0.442209, F1 = 0.485071}, query = aurora	
Epoch 23, epsilon = 0.540, sum(y)/len(y) = 495/1000, {Recall = 0.626258, Precision = 0.323835, F1 = 0.426915}, query = aurora	
Epoch 24, epsilon = 0.520, sum(y)/len(y) = 131/1000, {Recall = 0.302827, Precision = 0.609450, F1 = 0.404609}, query = aurora	
Epoch 25, epsilon = 0.500, sum(y)/len(y) = 161/1000, {Recall = 0.377575, Precision = 0.573926, F1 = 0.455491}, query = aurora	
Epoch 26, epsilon = 0.480, sum(y)/len(y) = 437/1000, {Recall = 0.597988, Precision = 0.345898, F1 = 0.438279}, query = aurora	
Epoch 27, epsilon = 0.460, sum(y)/len(y) = 353/1000, {Recall = 0.557259, Precision = 0.402144, F1 = 0.467162}, query = aurora	
Epoch 28, epsilon = 0.440, sum(y)/len(y) = 343/1000, {Recall = 0.560613, Precision = 0.405687, F1 = 0.470730}, query = aurora	
Epoch 29, epsilon = 0.420, sum(y)/len(y) = 196/1000, {Recall = 0.437470, Precision = 0.545400, F1 = 0.485509}, query = aurora	
Epoch 30, epsilon = 0.400, sum(y)/len(y) = 348/1000, {Recall = 0.558218, Precision = 0.401309, F1 = 0.466934}, query = aurora	
Epoch 31, epsilon = 0.380, sum(y)/len(y) = 395/1000, {Recall = 0.592238, Precision = 0.378329, F1 = 0.461711}, query = aurora	
Epoch 32, epsilon = 0.360, sum(y)/len(y) = 526/1000, {Recall = 0.639674, Precision = 0.309314, F1 = 0.416992}, query = aurora	
Epoch 33, epsilon = 0.340, sum(y)/len(y) = 122/1000, {Recall = 0.315285, Precision = 0.628462, F1 = 0.419911}, query = aurora	
Epoch 34, epsilon = 0.320, sum(y)/len(y) = 298/1000, {Recall = 0.511260, Precision = 0.423077, F1 = 0.463007}, query = aurora	
