...Utils file loaded	
...running on CPU	
training model with metric = f1, learning rate = 0.100, K = 20, J = 10, threshold = 0.000, embedding size = 50	
Running LSTM model	
Epoch 0, epsilon = 1.000, sum(y)/len(y) = 496/999, {Recall = 0.703402, Precision = 0.213186, F1 = 0.327204}, query = aurora	
Epoch 1, epsilon = 0.960, sum(y)/len(y) = 490/999, {Recall = 0.704839, Precision = 0.217636, F1 = 0.332580}, query = aurora	
Epoch 2, epsilon = 0.920, sum(y)/len(y) = 432/999, {Recall = 0.691902, Precision = 0.239350, F1 = 0.355665}, query = aurora	
Epoch 3, epsilon = 0.880, sum(y)/len(y) = 555/999, {Recall = 0.735026, Precision = 0.196088, F1 = 0.309586}, query = aurora	
Epoch 4, epsilon = 0.840, sum(y)/len(y) = 586/999, {Recall = 0.734547, Precision = 0.187042, F1 = 0.298162}, query = aurora	
Epoch 5, epsilon = 0.800, sum(y)/len(y) = 550/999, {Recall = 0.728797, Precision = 0.199816, F1 = 0.313641}, query = aurora	
Epoch 6, epsilon = 0.760, sum(y)/len(y) = 611/999, {Recall = 0.730714, Precision = 0.176668, F1 = 0.284541}, query = aurora	
Epoch 7, epsilon = 0.720, sum(y)/len(y) = 529/999, {Recall = 0.724006, Precision = 0.203119, F1 = 0.317237}, query = aurora	
Epoch 8, epsilon = 0.680, sum(y)/len(y) = 324/999, {Recall = 0.640632, Precision = 0.302831, F1 = 0.411258}, query = aurora	
Epoch 9, epsilon = 0.640, sum(y)/len(y) = 402/999, {Recall = 0.675611, Precision = 0.246978, F1 = 0.361724}, query = aurora	
Epoch 10, epsilon = 0.600, sum(y)/len(y) = 710/999, {Recall = 0.756109, Precision = 0.159394, F1 = 0.263285}, query = aurora	
Epoch 11, epsilon = 0.560, sum(y)/len(y) = 399/999, {Recall = 0.682319, Precision = 0.255380, F1 = 0.371656}, query = aurora	
Epoch 12, epsilon = 0.520, sum(y)/len(y) = 258/999, {Recall = 0.595113, Precision = 0.348485, F1 = 0.439568}, query = aurora	
Epoch 13, epsilon = 0.480, sum(y)/len(y) = 235/999, {Recall = 0.591759, Precision = 0.382353, F1 = 0.464548}, query = aurora	
Epoch 14, epsilon = 0.440, sum(y)/len(y) = 237/999, {Recall = 0.569717, Precision = 0.367089, F1 = 0.446489}, query = aurora	
Epoch 15, epsilon = 0.400, sum(y)/len(y) = 441/999, {Recall = 0.683757, Precision = 0.235829, F1 = 0.350700}, query = aurora	
Epoch 16, epsilon = 0.360, sum(y)/len(y) = 190/999, {Recall = 0.531385, Precision = 0.410589, F1 = 0.463241}, query = aurora	
Epoch 17, epsilon = 0.320, sum(y)/len(y) = 572/999, {Recall = 0.732631, Precision = 0.189303, F1 = 0.300866}, query = aurora	
Epoch 18, epsilon = 0.280, sum(y)/len(y) = 849/999, {Recall = 0.779588, Precision = 0.135617, F1 = 0.231042}, query = aurora	
