epoch;epsilon;loss;randomF1;oracleF1;rougeF1;rougeRecall;rougePrecision;actual;pred;nselect;nskip;query
0; 1.000; 0.000289; 0.031730; 0.175423; 0.031730; 0.016444; 0.450704; {min=-0.010, max=0.015}; {min=-0.094, max=0.036}; 96; 103; 1
1; 0.990; 0.000288; 0.031730; 0.175423; 0.130899; 0.075540; 0.490000; {min=-0.034, max=0.019}; {min=-0.069, max=0.043}; 98; 101; 1
2; 0.980; 0.000261; 0.031730; 0.175423; 0.130899; 0.075540; 0.490000; {min=-0.037, max=0.019}; {min=-0.047, max=0.050}; 97; 102; 1
3; 0.970; 0.000230; 0.031730; 0.175423; 0.128228; 0.073998; 0.480000; {min=-0.039, max=0.019}; {min=-0.047, max=0.038}; 97; 102; 1
4; 0.960; 0.000194; 0.031730; 0.175423; 0.133571; 0.077081; 0.500000; {min=-0.041, max=0.019}; {min=-0.051, max=0.038}; 96; 103; 1
5; 0.950; 0.000172; 0.031730; 0.175423; 0.133571; 0.077081; 0.500000; {min=-0.042, max=0.019}; {min=-0.044, max=0.036}; 96; 103; 1
6; 0.940; 0.000151; 0.031730; 0.175423; 0.124666; 0.071942; 0.466667; {min=-0.035, max=0.019}; {min=-0.047, max=0.037}; 97; 102; 1
7; 0.930; 0.000137; 0.031730; 0.175423; 0.133571; 0.077081; 0.500000; {min=-0.042, max=0.019}; {min=-0.042, max=0.036}; 99; 100; 1
8; 0.920; 0.000119; 0.031730; 0.175423; 0.133571; 0.077081; 0.500000; {min=-0.042, max=0.019}; {min=-0.042, max=0.035}; 100; 99; 1
9; 0.910; 0.000103; 0.031730; 0.175423; 0.127337; 0.073484; 0.476667; {min=-0.040, max=0.019}; {min=-0.042, max=0.032}; 100; 99; 1
10; 0.900; 0.000125; 0.031730; 0.175423; 0.118433; 0.068345; 0.443333; {min=-0.040, max=0.019}; {min=-0.040, max=0.032}; 100; 99; 1
11; 0.890; 0.000111; 0.031730; 0.175423; 0.127337; 0.073484; 0.476667; {min=-0.040, max=0.019}; {min=-0.043, max=0.033}; 97; 102; 1
12; 0.880; 0.000098; 0.031730; 0.175423; 0.127337; 0.073484; 0.476667; {min=-0.040, max=0.019}; {min=-0.043, max=0.033}; 97; 102; 1
13; 0.870; 0.000086; 0.031730; 0.175423; 0.125557; 0.072456; 0.470000; {min=-0.037, max=0.019}; {min=-0.042, max=0.032}; 96; 103; 1
14; 0.860; 0.000094; 0.031730; 0.175423; 0.129118; 0.074512; 0.483333; {min=-0.038, max=0.019}; {min=-0.042, max=0.033}; 94; 105; 1
15; 0.850; 0.000089; 0.031730; 0.175423; 0.127337; 0.073484; 0.476667; {min=-0.040, max=0.019}; {min=-0.040, max=0.031}; 95; 104; 1
16; 0.840; 0.000078; 0.031730; 0.175423; 0.125557; 0.072456; 0.470000; {min=-0.034, max=0.019}; {min=-0.041, max=0.032}; 94; 105; 1
17; 0.830; 0.000092; 0.031730; 0.175423; 0.127337; 0.073484; 0.476667; {min=-0.040, max=0.019}; {min=-0.039, max=0.030}; 94; 105; 1
18; 0.820; 0.000080; 0.031730; 0.175423; 0.127337; 0.073484; 0.476667; {min=-0.040, max=0.019}; {min=-0.037, max=0.030}; 93; 106; 1
19; 0.810; 0.000080; 0.031730; 0.175423; 0.124666; 0.071942; 0.466667; {min=-0.039, max=0.019}; {min=-0.039, max=0.029}; 94; 105; 1
20; 0.800; 0.000073; 0.031730; 0.175423; 0.124666; 0.071942; 0.466667; {min=-0.039, max=0.019}; {min=-0.038, max=0.029}; 93; 106; 1
21; 0.790; 0.000070; 0.031730; 0.175423; 0.124666; 0.071942; 0.466667; {min=-0.039, max=0.019}; {min=-0.038, max=0.029}; 93; 106; 1
22; 0.780; 0.000076; 0.031730; 0.175423; 0.130899; 0.075540; 0.490000; {min=-0.032, max=0.019}; {min=-0.038, max=0.032}; 91; 108; 1
23; 0.770; 0.000061; 0.031730; 0.175423; 0.127337; 0.073484; 0.476667; {min=-0.040, max=0.019}; {min=-0.035, max=0.027}; 98; 101; 1
24; 0.760; 0.000074; 0.031730; 0.175423; 0.130899; 0.075540; 0.490000; {min=-0.032, max=0.019}; {min=-0.038, max=0.031}; 93; 106; 1
25; 0.750; 0.000076; 0.031730; 0.175423; 0.124666; 0.071942; 0.466667; {min=-0.039, max=0.019}; {min=-0.037, max=0.032}; 98; 101; 1
26; 0.740; 0.000064; 0.031730; 0.175423; 0.130899; 0.075540; 0.490000; {min=-0.032, max=0.019}; {min=-0.039, max=0.028}; 92; 107; 1
27; 0.730; 0.000062; 0.031730; 0.175423; 0.124666; 0.071942; 0.466667; {min=-0.039, max=0.019}; {min=-0.037, max=0.031}; 99; 100; 1
28; 0.720; 0.000059; 0.031730; 0.175423; 0.130899; 0.075540; 0.490000; {min=-0.032, max=0.019}; {min=-0.037, max=0.030}; 95; 104; 1
29; 0.710; 0.000050; 0.031730; 0.175423; 0.130899; 0.075540; 0.490000; {min=-0.032, max=0.019}; {min=-0.036, max=0.031}; 95; 104; 1
30; 0.700; 0.000053; 0.031730; 0.175423; 0.130899; 0.075540; 0.490000; {min=-0.032, max=0.019}; {min=-0.037, max=0.029}; 94; 105; 1
31; 0.690; 0.000072; 0.031730; 0.175423; 0.126447; 0.072970; 0.473333; {min=-0.041, max=0.019}; {min=-0.036, max=0.030}; 96; 103; 1
32; 0.680; 0.000068; 0.031730; 0.175423; 0.126447; 0.072970; 0.473333; {min=-0.041, max=0.019}; {min=-0.036, max=0.030}; 96; 103; 1
33; 0.670; 0.000061; 0.031730; 0.175423; 0.130899; 0.075540; 0.490000; {min=-0.032, max=0.019}; {min=-0.036, max=0.026}; 94; 105; 1
34; 0.660; 0.000058; 0.031730; 0.175423; 0.126447; 0.072970; 0.473333; {min=-0.041, max=0.019}; {min=-0.036, max=0.029}; 96; 103; 1
35; 0.650; 0.000061; 0.031730; 0.175423; 0.130899; 0.075540; 0.490000; {min=-0.032, max=0.019}; {min=-0.036, max=0.024}; 95; 104; 1
36; 0.640; 0.000061; 0.031730; 0.175423; 0.130899; 0.075540; 0.490000; {min=-0.032, max=0.019}; {min=-0.037, max=0.023}; 92; 107; 1
37; 0.630; 0.000054; 0.031730; 0.175423; 0.130899; 0.075540; 0.490000; {min=-0.032, max=0.019}; {min=-0.035, max=0.023}; 95; 104; 1
38; 0.620; 0.000054; 0.031730; 0.175423; 0.130899; 0.075540; 0.490000; {min=-0.036, max=0.019}; {min=-0.036, max=0.022}; 91; 108; 1
39; 0.610; 0.000050; 0.031730; 0.175423; 0.130899; 0.075540; 0.490000; {min=-0.036, max=0.019}; {min=-0.036, max=0.028}; 93; 106; 1
40; 0.600; 0.000057; 0.031730; 0.175423; 0.128228; 0.073998; 0.480000; {min=-0.038, max=0.019}; {min=-0.036, max=0.020}; 88; 111; 1
41; 0.590; 0.000048; 0.031730; 0.175423; 0.128228; 0.073998; 0.480000; {min=-0.038, max=0.019}; {min=-0.035, max=0.021}; 87; 112; 1
42; 0.580; 0.000047; 0.031730; 0.175423; 0.129118; 0.074512; 0.483333; {min=-0.041, max=0.019}; {min=-0.035, max=0.027}; 92; 107; 1
43; 0.570; 0.000047; 0.031730; 0.175423; 0.126447; 0.072970; 0.473333; {min=-0.041, max=0.019}; {min=-0.048, max=0.026}; 88; 111; 1
44; 0.560; 0.000040; 0.031730; 0.175423; 0.126447; 0.072970; 0.473333; {min=-0.041, max=0.019}; {min=-0.048, max=0.027}; 88; 111; 1
45; 0.550; 0.000048; 0.031730; 0.175423; 0.128228; 0.073998; 0.480000; {min=-0.039, max=0.019}; {min=-0.048, max=0.026}; 85; 114; 1
