epoch;epsilon;loss;randomF1;oracleF1;rougeF1;rougeRecall;rougePrecision;actual;pred;nselect;nskip;query
0; 1.000; 0.000453; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.052, max=0.086}; 12; 7; 1
1; 0.967; 0.000269; 0.000000; 0.095365; 0.005010; 0.002569; 0.100000; {min=0.000, max=0.060}; {min=-0.037, max=0.052}; 12; 7; 1
2; 0.933; 0.002445; 0.000000; 0.095365; 0.003074; 0.001542; 0.500000; {min=0.000, max=0.500}; {min=-0.023, max=0.066}; 12; 7; 1
3; 0.900; 0.002393; 0.000000; 0.095365; 0.001015; 0.000514; 0.040000; {min=0.000, max=0.040}; {min=-0.020, max=0.061}; 12; 7; 1
4; 0.867; 0.006270; 0.000000; 0.095365; 0.001015; 0.000514; 0.040000; {min=0.000, max=0.040}; {min=-0.021, max=0.060}; 10; 9; 1
5; 0.833; 0.000583; 0.000000; 0.095365; 0.001015; 0.000514; 0.040000; {min=0.000, max=0.040}; {min=-0.019, max=0.070}; 10; 9; 1
6; 0.800; 0.002264; 0.000000; 0.095365; 0.008044; 0.004111; 0.186047; {min=0.000, max=0.146}; {min=-0.021, max=0.063}; 10; 9; 1
7; 0.767; 0.002338; 0.000000; 0.095365; 0.014888; 0.007708; 0.217391; {min=-0.002, max=0.118}; {min=-0.020, max=0.069}; 10; 9; 1
8; 0.733; 0.000317; 0.000000; 0.095365; 0.011917; 0.006166; 0.176471; {min=0.000, max=0.076}; {min=-0.019, max=0.066}; 10; 9; 1
9; 0.700; 0.002496; 0.000000; 0.095365; 0.011911; 0.006166; 0.173913; {min=-0.002, max=0.076}; {min=-0.021, max=0.056}; 10; 9; 1
10; 0.667; 0.002312; 0.000000; 0.095365; 0.011917; 0.006166; 0.176471; {min=0.000, max=0.076}; {min=-0.019, max=0.061}; 10; 9; 1
11; 0.633; 0.000303; 0.000000; 0.095365; 0.011917; 0.006166; 0.176471; {min=0.000, max=0.076}; {min=-0.019, max=0.057}; 10; 9; 1
12; 0.600; 0.000470; 0.000000; 0.095365; 0.011911; 0.006166; 0.173913; {min=-0.002, max=0.076}; {min=-0.019, max=0.055}; 9; 10; 1
13; 0.567; 0.001208; 0.000000; 0.095365; 0.007988; 0.004111; 0.140351; {min=-0.192, max=0.286}; {min=-0.028, max=0.054}; 9; 10; 1
14; 0.533; 0.002472; 0.000000; 0.095365; 0.015694; 0.008222; 0.172043; {min=0.000, max=0.060}; {min=-0.019, max=0.053}; 9; 10; 1
15; 0.500; 0.000893; 0.000000; 0.095365; 0.007988; 0.004111; 0.140351; {min=-0.192, max=0.286}; {min=-0.026, max=0.053}; 9; 10; 1
16; 0.467; 0.001706; 0.000000; 0.095365; 0.007988; 0.004111; 0.140351; {min=-0.192, max=0.286}; {min=-0.028, max=0.044}; 9; 10; 1
17; 0.433; 0.007146; 0.000000; 0.095365; 0.012942; 0.006680; 0.206349; {min=-0.328, max=0.538}; {min=-0.024, max=0.064}; 9; 10; 1
18; 0.400; 0.003118; 0.000000; 0.095365; 0.021632; 0.011305; 0.250000; {min=-0.228, max=0.538}; {min=-0.019, max=0.039}; 10; 9; 1
19; 0.367; 0.009314; 0.000000; 0.095365; 0.014881; 0.007708; 0.214286; {min=-0.228, max=0.538}; {min=-0.025, max=0.039}; 9; 10; 1
20; 0.333; 0.006235; 0.000000; 0.095365; 0.016129; 0.008222; 0.421053; {min=-0.088, max=0.538}; {min=-0.024, max=0.046}; 8; 11; 1
21; 0.300; 0.003614; 0.000000; 0.095365; 0.016129; 0.008222; 0.421053; {min=-0.088, max=0.538}; {min=-0.027, max=0.045}; 7; 12; 1
22; 0.267; 0.007956; 0.000000; 0.095365; 0.025884; 0.013361; 0.412698; {min=-0.025, max=0.400}; {min=-0.032, max=0.041}; 8; 11; 1
23; 0.233; 0.005934; 0.000000; 0.095365; 0.025884; 0.013361; 0.412698; {min=-0.025, max=0.400}; {min=-0.030, max=0.051}; 8; 11; 1
24; 0.200; 0.007757; 0.000000; 0.095365; 0.025884; 0.013361; 0.412698; {min=-0.025, max=0.400}; {min=-0.034, max=0.053}; 8; 11; 1
25; 0.167; 0.007397; 0.000000; 0.095365; 0.025884; 0.013361; 0.412698; {min=-0.025, max=0.400}; {min=-0.035, max=0.062}; 8; 11; 1
26; 0.133; 0.002860; 0.000000; 0.095365; 0.065604; 0.035971; 0.372340; {min=-0.056, max=0.400}; {min=-0.022, max=0.079}; 11; 8; 1
27; 0.100; 0.006471; 0.000000; 0.095365; 0.045675; 0.024152; 0.419643; {min=-0.016, max=0.400}; {min=-0.026, max=0.077}; 7; 12; 1
28; 0.067; 0.001570; 0.000000; 0.095365; 0.036382; 0.019013; 0.420455; {min=-0.016, max=0.400}; {min=-0.031, max=0.076}; 6; 13; 1
29; 0.050; 0.003173; 0.000000; 0.095365; 0.056872; 0.030832; 0.365854; {min=-0.071, max=0.400}; {min=-0.029, max=0.080}; 9; 10; 1
30; 0.050; 0.004097; 0.000000; 0.095365; 0.036382; 0.019013; 0.420455; {min=-0.016, max=0.400}; {min=-0.033, max=0.080}; 5; 14; 1
31; 0.050; 0.003613; 0.000000; 0.095365; 0.025884; 0.013361; 0.412698; {min=-0.025, max=0.400}; {min=-0.036, max=0.078}; 4; 15; 1
32; 0.050; 0.007350; 0.000000; 0.095365; 0.025884; 0.013361; 0.412698; {min=-0.025, max=0.400}; {min=-0.034, max=0.085}; 4; 15; 1
33; 0.050; 0.003508; 0.000000; 0.095365; 0.053717; 0.028777; 0.402878; {min=-0.033, max=0.400}; {min=-0.036, max=0.091}; 8; 11; 1
34; 0.050; 0.005631; 0.000000; 0.095365; 0.056872; 0.030832; 0.365854; {min=-0.071, max=0.400}; {min=-0.031, max=0.095}; 9; 10; 1
35; 0.050; 0.005932; 0.000000; 0.095365; 0.025884; 0.013361; 0.412698; {min=-0.025, max=0.400}; {min=-0.035, max=0.096}; 4; 15; 1
36; 0.050; 0.003586; 0.000000; 0.095365; 0.025884; 0.013361; 0.412698; {min=-0.025, max=0.400}; {min=-0.036, max=0.100}; 4; 15; 1
37; 0.050; 0.008438; 0.000000; 0.095365; 0.043689; 0.023124; 0.394737; {min=-0.041, max=0.400}; {min=-0.038, max=0.099}; 7; 12; 1
38; 0.050; 0.005626; 0.000000; 0.095365; 0.053717; 0.028777; 0.402878; {min=-0.033, max=0.400}; {min=-0.036, max=0.108}; 8; 11; 1
