epoch;epsilon;loss;randomF1;oracleF1;rougeF1;rougeRecall;rougePrecision;actual;pred;nselect;nskip;query
0; 1.000; 0.000700; 0.081033; 0.095365; 0.081033; 0.046763; 0.303333; {min=-0.018, max=0.010}; {min=-0.091, max=0.043}; 12; 7; 1
0; 1.000; 0.000121; 0.192849; 0.221018; 0.192849; 0.142857; 0.296667; {min=-0.062, max=0.023}; {min=-0.120, max=0.008}; 12; 7; 2
0; 1.000; 0.000037; 0.008673; 0.057186; 0.008673; 0.004386; 0.385965; {min=-0.002, max=0.002}; {min=-0.116, max=-0.002}; 12; 7; 3
1; 0.967; 0.000122; 0.008673; 0.095365; 0.031388; 0.016444; 0.344086; {min=-0.003, max=0.008}; {min=-0.035, max=0.040}; 12; 7; 1
1; 0.967; 0.000917; 0.008673; 0.221018; 0.192849; 0.142857; 0.296667; {min=-0.062, max=0.023}; {min=-0.112, max=0.011}; 12; 7; 2
1; 0.967; 0.000584; 0.008673; 0.057186; 0.008673; 0.004386; 0.385965; {min=-0.002, max=0.002}; {min=-0.099, max=0.010}; 12; 7; 3
2; 0.933; 0.000350; 0.008673; 0.095365; 0.047183; 0.025180; 0.374046; {min=-0.006, max=0.008}; {min=-0.020, max=0.046}; 12; 7; 1
2; 0.933; 0.000406; 0.008673; 0.221018; 0.192849; 0.142857; 0.296667; {min=-0.062, max=0.023}; {min=-0.080, max=0.034}; 12; 7; 2
2; 0.933; 0.000292; 0.008673; 0.057186; 0.024504; 0.012560; 0.500000; {min=-0.005, max=0.003}; {min=-0.070, max=0.017}; 12; 7; 3
3; 0.900; 0.000301; 0.008673; 0.095365; 0.029688; 0.015416; 0.400000; {min=-0.003, max=0.008}; {min=-0.022, max=0.049}; 12; 7; 1
3; 0.900; 0.000268; 0.008673; 0.221018; 0.192849; 0.142857; 0.296667; {min=-0.062, max=0.023}; {min=-0.060, max=0.035}; 13; 6; 2
3; 0.900; 0.000297; 0.008673; 0.057186; 0.024504; 0.012560; 0.500000; {min=-0.005, max=0.003}; {min=-0.053, max=0.022}; 12; 7; 3
4; 0.867; 0.000244; 0.008673; 0.095365; 0.041056; 0.021583; 0.420000; {min=-0.005, max=0.008}; {min=-0.022, max=0.047}; 10; 9; 1
4; 0.867; 0.000198; 0.008673; 0.221018; 0.197183; 0.146067; 0.303333; {min=-0.060, max=0.023}; {min=-0.052, max=0.034}; 12; 7; 2
4; 0.867; 0.000202; 0.008673; 0.057186; 0.024504; 0.012560; 0.500000; {min=-0.005, max=0.003}; {min=-0.045, max=0.020}; 11; 8; 3
5; 0.833; 0.000188; 0.008673; 0.095365; 0.044423; 0.023638; 0.368000; {min=-0.006, max=0.008}; {min=-0.018, max=0.043}; 10; 9; 1
5; 0.833; 0.000189; 0.008673; 0.221018; 0.199350; 0.147673; 0.306667; {min=-0.067, max=0.023}; {min=-0.043, max=0.033}; 11; 8; 2
5; 0.833; 0.000402; 0.008673; 0.057186; 0.024504; 0.012560; 0.500000; {min=-0.005, max=0.003}; {min=-0.040, max=0.021}; 11; 8; 3
6; 0.800; 0.000133; 0.008673; 0.095365; 0.044423; 0.023638; 0.368000; {min=-0.006, max=0.008}; {min=-0.022, max=0.039}; 10; 9; 1
6; 0.800; 0.000214; 0.008673; 0.221018; 0.199350; 0.147673; 0.306667; {min=-0.067, max=0.023}; {min=-0.040, max=0.035}; 11; 8; 2
6; 0.800; 0.000290; 0.008673; 0.057186; 0.014884; 0.007576; 0.422222; {min=-0.003, max=0.002}; {min=-0.035, max=0.023}; 10; 9; 3
7; 0.767; 0.000204; 0.008673; 0.095365; 0.044402; 0.023638; 0.365079; {min=-0.006, max=0.008}; {min=-0.016, max=0.037}; 10; 9; 1
7; 0.767; 0.000173; 0.008673; 0.221018; 0.199350; 0.147673; 0.306667; {min=-0.067, max=0.023}; {min=-0.035, max=0.034}; 11; 8; 2
7; 0.767; 0.000223; 0.008673; 0.057186; 0.014884; 0.007576; 0.422222; {min=-0.003, max=0.002}; {min=-0.030, max=0.022}; 10; 9; 3
8; 0.733; 0.000136; 0.008673; 0.095365; 0.044402; 0.023638; 0.365079; {min=-0.006, max=0.008}; {min=-0.016, max=0.034}; 10; 9; 1
8; 0.733; 0.000165; 0.008673; 0.221018; 0.042042; 0.022472; 0.325581; {min=-0.009, max=0.016}; {min=-0.053, max=0.037}; 10; 9; 2
8; 0.733; 0.000142; 0.008673; 0.057186; 0.014884; 0.007576; 0.422222; {min=-0.003, max=0.002}; {min=-0.030, max=0.020}; 10; 9; 3
9; 0.700; 0.000125; 0.008673; 0.095365; 0.054665; 0.029805; 0.329545; {min=-0.008, max=0.008}; {min=-0.029, max=0.033}; 10; 9; 1
9; 0.700; 0.000105; 0.008673; 0.221018; 0.199350; 0.147673; 0.306667; {min=-0.067, max=0.023}; {min=-0.032, max=0.039}; 11; 8; 2
9; 0.700; 0.000113; 0.008673; 0.057186; 0.023708; 0.012161; 0.469231; {min=-0.005, max=0.003}; {min=-0.024, max=0.016}; 11; 8; 3
10; 0.667; 0.000179; 0.008673; 0.095365; 0.054363; 0.029291; 0.377483; {min=-0.008, max=0.008}; {min=-0.013, max=0.033}; 10; 9; 1
