epoch;epsilon;loss;rougeF1;rougeRecall;rougePrecision;actual;pred
1; 1.000; 0.000000; 0.375000; 0.428571; 0.333333; {min=-0.701, max=0.157}; {min=-0.723, max=0.437}
2; 0.995; 0.000000; 0.240000; 0.214286; 0.272727; {min=-0.647, max=0.000}; {min=-0.788, max=0.400}
3; 0.990; 0.000000; 0.352941; 0.214286; 1.000000; {min=-0.647, max=0.000}; {min=-0.634, max=0.026}
4; 0.985; 0.000000; 0.240000; 0.214286; 0.272727; {min=-1.000, max=0.299}; {min=-0.634, max=0.348}
5; 0.980; 0.000000; 0.560000; 0.500000; 0.636364; {min=-1.000, max=0.353}; {min=-0.634, max=0.087}
6; 0.975; 0.000000; 0.000000; 0.000000; 0.000000; {min=-1.000, max=0.000}; {min=-0.668, max=0.353}
7; 0.970; 0.000000; 0.000000; 0.000000; 0.000000; {min=-1.000, max=0.000}; {min=-0.634, max=0.124}
8; 0.965; 0.000000; 0.444444; 0.285714; 1.000000; {min=-1.000, max=0.444}; {min=-0.634, max=0.148}
9; 0.960; 0.000000; 0.714286; 0.714286; 0.714286; {min=-0.647, max=0.214}; {min=-0.634, max=0.070}
10; 0.955; 0.000000; 0.000000; 0.000000; 0.000000; {min=-1.000, max=0.000}; {min=-0.668, max=0.353}
11; 0.950; 0.000000; 0.424242; 0.500000; 0.368421; {min=-0.701, max=0.196}; {min=-0.731, max=0.455}
12; 0.945; 0.000000; 0.428571; 0.428571; 0.428571; {min=-0.701, max=0.214}; {min=-0.670, max=0.262}
13; 0.940; 0.000000; 0.240000; 0.214286; 0.272727; {min=-0.701, max=0.000}; {min=-0.731, max=0.502}
14; 0.935; 0.000000; 0.625000; 0.714286; 0.555556; {min=-0.701, max=0.214}; {min=-0.670, max=0.073}
15; 0.930; 0.000000; 0.482759; 0.500000; 0.466667; {min=-1.000, max=0.286}; {min=-0.634, max=0.234}
16; 0.925; 0.000000; 0.482759; 0.500000; 0.466667; {min=-0.647, max=0.212}; {min=-0.788, max=0.336}
17; 0.920; 0.000000; 0.482759; 0.500000; 0.466667; {min=-1.000, max=0.299}; {min=-0.634, max=0.234}
