...running on CPU	
Running LSTM model to learn f1	
epoch = 1; rougue = 0.486998; epsilon = 1.000000; loss = 4.262759	
epoch = 2; rougue = 0.458263; epsilon = 0.980000; loss = 0.685592	
epoch = 3; rougue = 0.466577; epsilon = 0.960000; loss = 0.608495	
epoch = 4; rougue = 0.502713; epsilon = 0.940000; loss = 0.569261	
epoch = 5; rougue = 0.451193; epsilon = 0.920000; loss = 0.524365	
epoch = 6; rougue = 0.507277; epsilon = 0.900000; loss = 0.524443	
epoch = 7; rougue = 0.558773; epsilon = 0.880000; loss = 0.454248	
epoch = 8; rougue = 0.462262; epsilon = 0.860000; loss = 0.420231	
epoch = 9; rougue = 0.539818; epsilon = 0.840000; loss = 0.431765	
epoch = 10; rougue = 0.478333; epsilon = 0.820000; loss = 0.369144	
epoch = 11; rougue = 0.594568; epsilon = 0.800000; loss = 0.336662	
epoch = 12; rougue = 0.546728; epsilon = 0.780000; loss = 0.337607	
epoch = 13; rougue = 0.541637; epsilon = 0.760000; loss = 0.274482	
epoch = 14; rougue = 0.631889; epsilon = 0.740000; loss = 0.395603	
epoch = 15; rougue = 0.569189; epsilon = 0.720000; loss = 0.288131	
epoch = 16; rougue = 0.552685; epsilon = 0.700000; loss = 0.269728	
epoch = 17; rougue = 0.589666; epsilon = 0.680000; loss = 0.269411	
epoch = 18; rougue = 0.584489; epsilon = 0.660000; loss = 0.271669	
epoch = 19; rougue = 0.541416; epsilon = 0.640000; loss = 0.192876	
epoch = 20; rougue = 0.642047; epsilon = 0.620000; loss = 0.205834	
epoch = 21; rougue = 0.623580; epsilon = 0.600000; loss = 0.201874	
epoch = 22; rougue = 0.647297; epsilon = 0.580000; loss = 0.191115	
epoch = 23; rougue = 0.635907; epsilon = 0.560000; loss = 0.205245	
epoch = 24; rougue = 0.634268; epsilon = 0.540000; loss = 0.211289	
epoch = 25; rougue = 0.671596; epsilon = 0.520000; loss = 0.219692	
epoch = 26; rougue = 0.616743; epsilon = 0.500000; loss = 0.172049	
epoch = 27; rougue = 0.628922; epsilon = 0.480000; loss = 0.210865	
epoch = 28; rougue = 0.692885; epsilon = 0.460000; loss = 0.222073	
epoch = 29; rougue = 0.738125; epsilon = 0.440000; loss = 0.200984	
epoch = 30; rougue = 0.561669; epsilon = 0.420000; loss = 0.174237	
epoch = 31; rougue = 0.706153; epsilon = 0.400000; loss = 0.149797	
epoch = 32; rougue = 0.687302; epsilon = 0.380000; loss = 0.158364	
epoch = 33; rougue = 0.707173; epsilon = 0.360000; loss = 0.150017	
epoch = 34; rougue = 0.758000; epsilon = 0.340000; loss = 0.118644	
epoch = 35; rougue = 0.731236; epsilon = 0.320000; loss = 0.147810	
epoch = 36; rougue = 0.694116; epsilon = 0.300000; loss = 0.160094	
epoch = 37; rougue = 0.907385; epsilon = 0.280000; loss = 0.135095	
epoch = 38; rougue = 0.835096; epsilon = 0.260000; loss = 0.089752	
epoch = 39; rougue = 0.734923; epsilon = 0.240000; loss = 0.119539	
epoch = 40; rougue = 0.842422; epsilon = 0.220000; loss = 0.120798	
epoch = 41; rougue = 0.805893; epsilon = 0.200000; loss = 0.130691	
epoch = 42; rougue = 0.768601; epsilon = 0.180000; loss = 0.150624	
epoch = 43; rougue = 0.829693; epsilon = 0.160000; loss = 0.135443	
epoch = 44; rougue = 0.865442; epsilon = 0.140000; loss = 0.172665	
epoch = 45; rougue = 0.768980; epsilon = 0.120000; loss = 0.117687	
epoch = 46; rougue = 0.825408; epsilon = 0.100000; loss = 0.098732	
epoch = 47; rougue = 0.852763; epsilon = 0.100000; loss = 0.090629	
epoch = 48; rougue = 0.822247; epsilon = 0.100000; loss = 0.078958	
epoch = 49; rougue = 0.924175; epsilon = 0.100000; loss = 0.066899	
epoch = 50; rougue = 0.902884; epsilon = 0.100000; loss = 0.072238	
epoch = 51; rougue = 0.906544; epsilon = 0.100000; loss = 0.078378	
epoch = 52; rougue = 0.811202; epsilon = 0.100000; loss = 0.062096	
epoch = 53; rougue = 0.841219; epsilon = 0.100000; loss = 0.168573	
epoch = 54; rougue = 0.770965; epsilon = 0.100000; loss = 0.140626	
epoch = 55; rougue = 0.923216; epsilon = 0.100000; loss = 0.111608	
epoch = 56; rougue = 0.776405; epsilon = 0.100000; loss = 0.081298	
epoch = 57; rougue = 0.917366; epsilon = 0.100000; loss = 0.068753	
epoch = 58; rougue = 0.806890; epsilon = 0.100000; loss = 0.081741	
epoch = 59; rougue = 0.835468; epsilon = 0.100000; loss = 0.067401	
epoch = 60; rougue = 0.907199; epsilon = 0.100000; loss = 0.058989	
epoch = 61; rougue = 0.877897; epsilon = 0.100000; loss = 0.089792	
epoch = 62; rougue = 0.858145; epsilon = 0.100000; loss = 0.106911	
epoch = 63; rougue = 0.805905; epsilon = 0.100000; loss = 0.183046	
epoch = 64; rougue = 0.872418; epsilon = 0.100000; loss = 0.102983	
epoch = 65; rougue = 0.863897; epsilon = 0.100000; loss = 0.063263	
epoch = 66; rougue = 0.870859; epsilon = 0.100000; loss = 0.064416	
epoch = 67; rougue = 0.863880; epsilon = 0.100000; loss = 0.085820	
epoch = 68; rougue = 0.802392; epsilon = 0.100000; loss = 0.093962	
epoch = 69; rougue = 0.829594; epsilon = 0.100000; loss = 0.095269	
epoch = 70; rougue = 0.817831; epsilon = 0.100000; loss = 0.108102	
epoch = 71; rougue = 0.806062; epsilon = 0.100000; loss = 0.146986	
epoch = 72; rougue = 0.909780; epsilon = 0.100000; loss = 0.116136	
epoch = 73; rougue = 0.819774; epsilon = 0.100000; loss = 0.069696	
epoch = 74; rougue = 0.813135; epsilon = 0.100000; loss = 0.127940	
epoch = 75; rougue = 0.846807; epsilon = 0.100000; loss = 0.141526	
epoch = 76; rougue = 0.710535; epsilon = 0.100000; loss = 0.169732	
epoch = 77; rougue = 0.777922; epsilon = 0.100000; loss = 0.078766	
epoch = 78; rougue = 0.914255; epsilon = 0.100000; loss = 0.064814	
epoch = 79; rougue = 0.819701; epsilon = 0.100000; loss = 0.084384	
