epoch;epsilon;loss;randomF1;oracleF1;rougeF1;rougeRecall;rougePrecision;actual;pred;nselect;nskip;query
0; 1.000; 0.010921; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.194, max=0.323}; 12; 7; 1
1; 0.967; 0.008352; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.047, max=0.285}; 11; 8; 1
2; 0.933; 0.012356; 0.000000; 0.095365; 0.005074; 0.002569; 0.200000; {min=0.000, max=0.200}; {min=-0.068, max=0.264}; 8; 11; 1
3; 0.900; 0.005842; 0.000000; 0.095365; 0.005074; 0.002569; 0.200000; {min=0.000, max=0.200}; {min=-0.068, max=0.238}; 13; 6; 1
4; 0.867; 0.011256; 0.000000; 0.095365; 0.005074; 0.002569; 0.200000; {min=0.000, max=0.200}; {min=-0.054, max=0.234}; 8; 11; 1
5; 0.833; 0.007951; 0.000000; 0.095365; 0.005074; 0.002569; 0.200000; {min=0.000, max=0.200}; {min=-0.065, max=0.218}; 10; 9; 1
6; 0.800; 0.011375; 0.000000; 0.095365; 0.009018; 0.004625; 0.180000; {min=-0.020, max=0.200}; {min=-0.042, max=0.210}; 6; 13; 1
7; 0.767; 0.008231; 0.000000; 0.095365; 0.009018; 0.004625; 0.180000; {min=-0.020, max=0.200}; {min=-0.050, max=0.194}; 3; 16; 1
8; 0.733; 0.006888; 0.000000; 0.095365; 0.009018; 0.004625; 0.180000; {min=-0.020, max=0.200}; {min=-0.049, max=0.181}; 6; 13; 1
9; 0.700; 0.008299; 0.000000; 0.095365; 0.009018; 0.004625; 0.180000; {min=-0.020, max=0.200}; {min=-0.060, max=0.172}; 3; 16; 1
10; 0.667; 0.004415; 0.000000; 0.095365; 0.015834; 0.008222; 0.213333; {min=-0.020, max=0.200}; {min=-0.061, max=0.168}; 10; 9; 1
11; 0.633; 0.011420; 0.000000; 0.095365; 0.022616; 0.011819; 0.261364; {min=-0.223, max=0.538}; {min=-0.063, max=0.155}; 8; 11; 1
12; 0.600; 0.022995; 0.000000; 0.095365; 0.022616; 0.011819; 0.261364; {min=-0.223, max=0.538}; {min=-0.071, max=0.151}; 6; 13; 1
13; 0.567; 0.017251; 0.000000; 0.095365; 0.030126; 0.015930; 0.276786; {min=-0.133, max=0.538}; {min=-0.073, max=0.135}; 7; 12; 1
14; 0.533; 0.018938; 0.000000; 0.095365; 0.030126; 0.015930; 0.276786; {min=-0.133, max=0.538}; {min=-0.070, max=0.128}; 8; 11; 1
15; 0.500; 0.012781; 0.000000; 0.095365; 0.022616; 0.011819; 0.261364; {min=-0.223, max=0.538}; {min=-0.067, max=0.134}; 5; 14; 1
16; 0.467; 0.022702; 0.000000; 0.095365; 0.030126; 0.015930; 0.276786; {min=-0.133, max=0.538}; {min=-0.080, max=0.120}; 11; 8; 1
17; 0.433; 0.011250; 0.000000; 0.095365; 0.057250; 0.031346; 0.329730; {min=-0.047, max=0.400}; {min=-0.116, max=0.105}; 10; 9; 1
18; 0.400; 0.015828; 0.000000; 0.095365; 0.071429; 0.039568; 0.366667; {min=-0.120, max=0.640}; {min=-0.110, max=0.090}; 10; 9; 1
19; 0.367; 0.008946; 0.000000; 0.095365; 0.081614; 0.045735; 0.378723; {min=-0.120, max=0.640}; {min=-0.128, max=0.088}; 11; 8; 1
20; 0.333; 0.023838; 0.000000; 0.095365; 0.081614; 0.045735; 0.378723; {min=-0.120, max=0.640}; {min=-0.118, max=0.087}; 6; 13; 1
21; 0.300; 0.025965; 0.000000; 0.095365; 0.088849; 0.050360; 0.376923; {min=-0.120, max=0.640}; {min=-0.109, max=0.106}; 7; 12; 1
22; 0.267; 0.019666; 0.000000; 0.095365; 0.081614; 0.045735; 0.378723; {min=-0.120, max=0.640}; {min=-0.101, max=0.118}; 12; 7; 1
23; 0.233; 0.013853; 0.000000; 0.095365; 0.088849; 0.050360; 0.376923; {min=-0.120, max=0.640}; {min=-0.107, max=0.125}; 9; 10; 1
24; 0.200; 0.021499; 0.000000; 0.095365; 0.081614; 0.045735; 0.378723; {min=-0.120, max=0.640}; {min=-0.106, max=0.131}; 9; 10; 1
25; 0.167; 0.022002; 0.000000; 0.095365; 0.081614; 0.045735; 0.378723; {min=-0.120, max=0.640}; {min=-0.109, max=0.140}; 12; 7; 1
