Epoch 0, epsilon = 1.000, sum(y)/len(y) = 468/1000, {Recall = 0.700048, Precision = 0.227393, F1 = 0.343280}, query = aurora	
Epoch 1, epsilon = 0.920, sum(y)/len(y) = 447/1000, {Recall = 0.688069, Precision = 0.230905, F1 = 0.345774}, query = aurora	
Epoch 2, epsilon = 0.840, sum(y)/len(y) = 446/1000, {Recall = 0.693819, Precision = 0.230353, F1 = 0.345874}, query = aurora	
Epoch 3, epsilon = 0.760, sum(y)/len(y) = 407/1000, {Recall = 0.681361, Precision = 0.247908, F1 = 0.363543}, query = aurora	
Epoch 4, epsilon = 0.680, sum(y)/len(y) = 368/1000, {Recall = 0.663632, Precision = 0.266346, F1 = 0.380129}, query = aurora	
Epoch 5, epsilon = 0.600, sum(y)/len(y) = 247/1000, {Recall = 0.572113, Precision = 0.350352, F1 = 0.434577}, query = aurora	
Epoch 6, epsilon = 0.520, sum(y)/len(y) = 314/1000, {Recall = 0.628654, Precision = 0.300091, F1 = 0.406255}, query = aurora	
Epoch 7, epsilon = 0.440, sum(y)/len(y) = 91/1000, {Recall = 0.347868, Precision = 0.548338, F1 = 0.425682}, query = aurora	
Epoch 8, epsilon = 0.360, sum(y)/len(y) = 206/1000, {Recall = 0.543843, Precision = 0.380872, F1 = 0.447997}, query = aurora	
Epoch 9, epsilon = 0.280, sum(y)/len(y) = 53/1000, {Recall = 0.227120, Precision = 0.612403, F1 = 0.331353}, query = aurora	
Epoch 10, epsilon = 0.200, sum(y)/len(y) = 151/1000, {Recall = 0.489698, Precision = 0.462234, F1 = 0.475570}, query = aurora	
Epoch 11, epsilon = 0.120, sum(y)/len(y) = 52/1000, {Recall = 0.233828, Precision = 0.637076, F1 = 0.342096}, query = aurora	
Epoch 12, epsilon = 0.040, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 13, epsilon = 0.100, sum(y)/len(y) = 113/1000, {Recall = 0.381888, Precision = 0.538514, F1 = 0.446874}, query = aurora	
Epoch 14, epsilon = 0.100, sum(y)/len(y) = 42/1000, {Recall = 0.183996, Precision = 0.688172, F1 = 0.290359}, query = aurora	
Epoch 15, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 16, epsilon = 0.100, sum(y)/len(y) = 58/1000, {Recall = 0.210829, Precision = 0.572917, F1 = 0.308231}, query = aurora	
Epoch 17, epsilon = 0.100, sum(y)/len(y) = 152/1000, {Recall = 0.487302, Precision = 0.473684, F1 = 0.480397}, query = aurora	
Epoch 18, epsilon = 0.100, sum(y)/len(y) = 46/1000, {Recall = 0.200767, Precision = 0.657771, F1 = 0.307636}, query = aurora	
Epoch 19, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 20, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 21, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 22, epsilon = 0.100, sum(y)/len(y) = 57/1000, {Recall = 0.214183, Precision = 0.571611, F1 = 0.311607}, query = aurora	
Epoch 23, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 24, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 25, epsilon = 0.100, sum(y)/len(y) = 55/1000, {Recall = 0.262099, Precision = 0.644287, F1 = 0.372616}, query = aurora	
Epoch 26, epsilon = 0.100, sum(y)/len(y) = 105/1000, {Recall = 0.418304, Precision = 0.568730, F1 = 0.482054}, query = aurora	
Epoch 27, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 28, epsilon = 0.100, sum(y)/len(y) = 105/1000, {Recall = 0.376617, Precision = 0.520185, F1 = 0.436909}, query = aurora	
Epoch 29, epsilon = 0.100, sum(y)/len(y) = 44/1000, {Recall = 0.212266, Precision = 0.690031, F1 = 0.324661}, query = aurora	
Epoch 30, epsilon = 0.100, sum(y)/len(y) = 52/1000, {Recall = 0.241016, Precision = 0.684354, F1 = 0.356485}, query = aurora	
Epoch 31, epsilon = 0.100, sum(y)/len(y) = 47/1000, {Recall = 0.218016, Precision = 0.689394, F1 = 0.331270}, query = aurora	
Epoch 32, epsilon = 0.100, sum(y)/len(y) = 103/1000, {Recall = 0.404408, Precision = 0.554169, F1 = 0.467590}, query = aurora	
Epoch 33, epsilon = 0.100, sum(y)/len(y) = 49/1000, {Recall = 0.207954, Precision = 0.624460, F1 = 0.312006}, query = aurora	
Epoch 34, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 35, epsilon = 0.100, sum(y)/len(y) = 100/1000, {Recall = 0.383805, Precision = 0.568085, F1 = 0.458107}, query = aurora	
Epoch 36, epsilon = 0.100, sum(y)/len(y) = 56/1000, {Recall = 0.267849, Precision = 0.665476, F1 = 0.381961}, query = aurora	
Epoch 37, epsilon = 0.100, sum(y)/len(y) = 99/1000, {Recall = 0.367992, Precision = 0.566372, F1 = 0.446123}, query = aurora	
Epoch 38, epsilon = 0.100, sum(y)/len(y) = 91/1000, {Recall = 0.347868, Precision = 0.546275, F1 = 0.425059}, query = aurora	
Epoch 39, epsilon = 0.100, sum(y)/len(y) = 47/1000, {Recall = 0.219454, Precision = 0.711180, F1 = 0.335408}, query = aurora	
Epoch 40, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 41, epsilon = 0.100, sum(y)/len(y) = 47/1000, {Recall = 0.175371, Precision = 0.585600, F1 = 0.269912}, query = aurora	
Epoch 42, epsilon = 0.100, sum(y)/len(y) = 102/1000, {Recall = 0.328701, Precision = 0.529321, F1 = 0.405557}, query = aurora	
Epoch 43, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 44, epsilon = 0.100, sum(y)/len(y) = 48/1000, {Recall = 0.218975, Precision = 0.695586, F1 = 0.333090}, query = aurora	
Epoch 45, epsilon = 0.100, sum(y)/len(y) = 41/1000, {Recall = 0.199808, Precision = 0.703204, F1 = 0.311194}, query = aurora	
Epoch 46, epsilon = 0.100, sum(y)/len(y) = 44/1000, {Recall = 0.172496, Precision = 0.608108, F1 = 0.268757}, query = aurora	
Epoch 47, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 48, epsilon = 0.100, sum(y)/len(y) = 215/1000, {Recall = 0.536176, Precision = 0.372503, F1 = 0.439599}, query = aurora	
Epoch 49, epsilon = 0.100, sum(y)/len(y) = 92/1000, {Recall = 0.387159, Precision = 0.603886, F1 = 0.471825}, query = aurora	
Epoch 50, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
