...Utils file loaded	
...running on GPU	
training model with learning rate = 0.050, K = 10, J = 20, threshold = 0.010, embedding size = 50, and batch size = 200...	
Running BOW model	
Epoch 0, epsilon = 1.000, sum(y)/len(y) = 488/1000, {Recall = 0.633445, Precision = 0.332579, F1 = 0.436160}, query = aurora	
Epoch 1, epsilon = 0.980, sum(y)/len(y) = 575/1000, {Recall = 0.659320, Precision = 0.294206, F1 = 0.406860}, query = aurora	
Epoch 2, epsilon = 0.960, sum(y)/len(y) = 486/1000, {Recall = 0.630570, Precision = 0.330653, F1 = 0.433822}, query = aurora	
Epoch 3, epsilon = 0.940, sum(y)/len(y) = 511/1000, {Recall = 0.631049, Precision = 0.316815, F1 = 0.421845}, query = aurora	
Epoch 4, epsilon = 0.920, sum(y)/len(y) = 486/1000, {Recall = 0.630091, Precision = 0.331318, F1 = 0.434280}, query = aurora	
Epoch 5, epsilon = 0.900, sum(y)/len(y) = 397/1000, {Recall = 0.590800, Precision = 0.382563, F1 = 0.464407}, query = aurora	
Epoch 6, epsilon = 0.880, sum(y)/len(y) = 515/1000, {Recall = 0.641112, Precision = 0.316761, F1 = 0.424022}, query = aurora	
Epoch 7, epsilon = 0.860, sum(y)/len(y) = 361/1000, {Recall = 0.573071, Precision = 0.403781, F1 = 0.473757}, query = aurora	
Epoch 8, epsilon = 0.840, sum(y)/len(y) = 547/1000, {Recall = 0.654528, Precision = 0.303017, F1 = 0.414253}, query = aurora	
Epoch 9, epsilon = 0.820, sum(y)/len(y) = 438/1000, {Recall = 0.601821, Precision = 0.348889, F1 = 0.441709}, query = aurora	
Epoch 10, epsilon = 0.800, sum(y)/len(y) = 695/1000, {Recall = 0.666986, Precision = 0.240581, F1 = 0.353614}, query = aurora	
Epoch 11, epsilon = 0.780, sum(y)/len(y) = 437/1000, {Recall = 0.608050, Precision = 0.345682, F1 = 0.440778}, query = aurora	
Epoch 12, epsilon = 0.760, sum(y)/len(y) = 383/1000, {Recall = 0.572592, Precision = 0.375432, F1 = 0.453510}, query = aurora	
Epoch 13, epsilon = 0.740, sum(y)/len(y) = 456/1000, {Recall = 0.604696, Precision = 0.333598, F1 = 0.429983}, query = aurora	
Epoch 14, epsilon = 0.720, sum(y)/len(y) = 414/1000, {Recall = 0.590321, Precision = 0.364713, F1 = 0.450869}, query = aurora	
Epoch 15, epsilon = 0.700, sum(y)/len(y) = 678/1000, {Recall = 0.676090, Precision = 0.253367, F1 = 0.368600}, query = aurora	
Epoch 16, epsilon = 0.680, sum(y)/len(y) = 524/1000, {Recall = 0.632008, Precision = 0.306816, F1 = 0.413091}, query = aurora	
Epoch 17, epsilon = 0.660, sum(y)/len(y) = 485/1000, {Recall = 0.627695, Precision = 0.327500, F1 = 0.430425}, query = aurora	
Epoch 18, epsilon = 0.640, sum(y)/len(y) = 658/1000, {Recall = 0.675132, Precision = 0.263119, F1 = 0.378662}, query = aurora	
Epoch 19, epsilon = 0.620, sum(y)/len(y) = 514/1000, {Recall = 0.640153, Precision = 0.323330, F1 = 0.429651}, query = aurora	
Epoch 20, epsilon = 0.600, sum(y)/len(y) = 524/1000, {Recall = 0.630570, Precision = 0.307190, F1 = 0.413122}, query = aurora	
Epoch 21, epsilon = 0.580, sum(y)/len(y) = 467/1000, {Recall = 0.609487, Precision = 0.332288, F1 = 0.430093}, query = aurora	
Epoch 22, epsilon = 0.560, sum(y)/len(y) = 567/1000, {Recall = 0.640632, Precision = 0.288894, F1 = 0.398213}, query = aurora	
Epoch 23, epsilon = 0.540, sum(y)/len(y) = 495/1000, {Recall = 0.626258, Precision = 0.323835, F1 = 0.426915}, query = aurora	
Epoch 24, epsilon = 0.520, sum(y)/len(y) = 494/1000, {Recall = 0.612362, Precision = 0.317752, F1 = 0.418399}, query = aurora	
Epoch 25, epsilon = 0.500, sum(y)/len(y) = 698/1000, {Recall = 0.672257, Precision = 0.246877, F1 = 0.361133}, query = aurora	
Epoch 26, epsilon = 0.480, sum(y)/len(y) = 526/1000, {Recall = 0.640632, Precision = 0.307852, F1 = 0.415863}, query = aurora	
Epoch 27, epsilon = 0.460, sum(y)/len(y) = 557/1000, {Recall = 0.643507, Precision = 0.295490, F1 = 0.405006}, query = aurora	
Epoch 28, epsilon = 0.440, sum(y)/len(y) = 551/1000, {Recall = 0.649736, Precision = 0.298810, F1 = 0.409358}, query = aurora	
Epoch 29, epsilon = 0.420, sum(y)/len(y) = 506/1000, {Recall = 0.604696, Precision = 0.303438, F1 = 0.404099}, query = aurora	
Epoch 30, epsilon = 0.400, sum(y)/len(y) = 397/1000, {Recall = 0.570196, Precision = 0.366154, F1 = 0.445943}, query = aurora	
Epoch 31, epsilon = 0.380, sum(y)/len(y) = 467/1000, {Recall = 0.612362, Precision = 0.334380, F1 = 0.432561}, query = aurora	
Epoch 32, epsilon = 0.360, sum(y)/len(y) = 431/1000, {Recall = 0.601821, Precision = 0.355807, F1 = 0.447214}, query = aurora	
Epoch 33, epsilon = 0.340, sum(y)/len(y) = 280/1000, {Recall = 0.514614, Precision = 0.468996, F1 = 0.490747}, query = aurora	
Epoch 34, epsilon = 0.320, sum(y)/len(y) = 321/1000, {Recall = 0.531864, Precision = 0.424474, F1 = 0.472140}, query = aurora	
Epoch 35, epsilon = 0.300, sum(y)/len(y) = 308/1000, {Recall = 0.523718, Precision = 0.438076, F1 = 0.477084}, query = aurora	
Epoch 36, epsilon = 0.280, sum(y)/len(y) = 171/1000, {Recall = 0.325827, Precision = 0.523480, F1 = 0.401654}, query = aurora	
Epoch 37, epsilon = 0.260, sum(y)/len(y) = 219/1000, {Recall = 0.408241, Precision = 0.492770, F1 = 0.446541}, query = aurora	
Epoch 38, epsilon = 0.240, sum(y)/len(y) = 236/1000, {Recall = 0.423575, Precision = 0.468966, F1 = 0.445116}, query = aurora	
Epoch 39, epsilon = 0.220, sum(y)/len(y) = 478/1000, {Recall = 0.609487, Precision = 0.329619, F1 = 0.427851}, query = aurora	
Epoch 40, epsilon = 0.200, sum(y)/len(y) = 326/1000, {Recall = 0.508385, Precision = 0.398124, F1 = 0.446549}, query = aurora	
Epoch 41, epsilon = 0.180, sum(y)/len(y) = 189/1000, {Recall = 0.367513, Precision = 0.516846, F1 = 0.429572}, query = aurora	
Epoch 42, epsilon = 0.160, sum(y)/len(y) = 400/1000, {Recall = 0.558697, Precision = 0.356466, F1 = 0.435237}, query = aurora	
Epoch 43, epsilon = 0.140, sum(y)/len(y) = 270/1000, {Recall = 0.459032, Precision = 0.441475, F1 = 0.450082}, query = aurora	
Epoch 44, epsilon = 0.120, sum(y)/len(y) = 260/1000, {Recall = 0.450886, Precision = 0.446819, F1 = 0.448843}, query = aurora	
Epoch 45, epsilon = 0.100, sum(y)/len(y) = 152/1000, {Recall = 0.280786, Precision = 0.503436, F1 = 0.360504}, query = aurora	
Epoch 46, epsilon = 0.100, sum(y)/len(y) = 349/1000, {Recall = 0.497844, Precision = 0.368570, F1 = 0.423563}, query = aurora	
Epoch 47, epsilon = 0.100, sum(y)/len(y) = 380/1000, {Recall = 0.540968, Precision = 0.365727, F1 = 0.436413}, query = aurora	
Epoch 48, epsilon = 0.100, sum(y)/len(y) = 294/1000, {Recall = 0.442741, Precision = 0.391858, F1 = 0.415748}, query = aurora	
Epoch 49, epsilon = 0.100, sum(y)/len(y) = 316/1000, {Recall = 0.501677, Precision = 0.408665, F1 = 0.450419}, query = aurora	
Epoch 50, epsilon = 0.100, sum(y)/len(y) = 386/1000, {Recall = 0.529468, Precision = 0.353148, F1 = 0.423696}, query = aurora	
Epoch 51, epsilon = 0.100, sum(y)/len(y) = 216/1000, {Recall = 0.381409, Precision = 0.466862, F1 = 0.419831}, query = aurora	
Epoch 52, epsilon = 0.100, sum(y)/len(y) = 340/1000, {Recall = 0.544322, Precision = 0.419498, F1 = 0.473827}, query = aurora	
Epoch 53, epsilon = 0.100, sum(y)/len(y) = 245/1000, {Recall = 0.421179, Precision = 0.454969, F1 = 0.437422}, query = aurora	
Epoch 54, epsilon = 0.100, sum(y)/len(y) = 198/1000, {Recall = 0.356972, Precision = 0.480026, F1 = 0.409453}, query = aurora	
Epoch 55, epsilon = 0.100, sum(y)/len(y) = 249/1000, {Recall = 0.462865, Precision = 0.486160, F1 = 0.474227}, query = aurora	
Epoch 56, epsilon = 0.100, sum(y)/len(y) = 164/1000, {Recall = 0.315285, Precision = 0.520982, F1 = 0.392836}, query = aurora	
Epoch 57, epsilon = 0.100, sum(y)/len(y) = 234/1000, {Recall = 0.413512, Precision = 0.475744, F1 = 0.442451}, query = aurora	
Epoch 58, epsilon = 0.100, sum(y)/len(y) = 164/1000, {Recall = 0.315285, Precision = 0.520982, F1 = 0.392836}, query = aurora	
Epoch 59, epsilon = 0.100, sum(y)/len(y) = 295/1000, {Recall = 0.507906, Precision = 0.445191, F1 = 0.474485}, query = aurora	
Epoch 60, epsilon = 0.100, sum(y)/len(y) = 286/1000, {Recall = 0.482990, Precision = 0.452424, F1 = 0.467207}, query = aurora	
Epoch 61, epsilon = 0.100, sum(y)/len(y) = 158/1000, {Recall = 0.306660, Precision = 0.528489, F1 = 0.388114}, query = aurora	
Epoch 62, epsilon = 0.100, sum(y)/len(y) = 158/1000, {Recall = 0.306660, Precision = 0.528489, F1 = 0.388114}, query = aurora	
Epoch 63, epsilon = 0.100, sum(y)/len(y) = 158/1000, {Recall = 0.306660, Precision = 0.528489, F1 = 0.388114}, query = aurora	
Epoch 64, epsilon = 0.100, sum(y)/len(y) = 239/1000, {Recall = 0.422616, Precision = 0.476499, F1 = 0.447943}, query = aurora	
Epoch 65, epsilon = 0.100, sum(y)/len(y) = 308/1000, {Recall = 0.506469, Precision = 0.435697, F1 = 0.468425}, query = aurora	
Epoch 66, epsilon = 0.100, sum(y)/len(y) = 156/1000, {Recall = 0.303306, Precision = 0.530595, F1 = 0.385976}, query = aurora	
Epoch 67, epsilon = 0.100, sum(y)/len(y) = 227/1000, {Recall = 0.415908, Precision = 0.490950, F1 = 0.450324}, query = aurora	
Epoch 68, epsilon = 0.100, sum(y)/len(y) = 278/1000, {Recall = 0.482511, Precision = 0.449554, F1 = 0.465450}, query = aurora	
Epoch 69, epsilon = 0.100, sum(y)/len(y) = 228/1000, {Recall = 0.421658, Precision = 0.479303, F1 = 0.448636}, query = aurora	
Epoch 70, epsilon = 0.100, sum(y)/len(y) = 155/1000, {Recall = 0.301869, Precision = 0.531646, F1 = 0.385086}, query = aurora	
Epoch 71, epsilon = 0.100, sum(y)/len(y) = 152/1000, {Recall = 0.298515, Precision = 0.537532, F1 = 0.383857}, query = aurora	
Epoch 72, epsilon = 0.100, sum(y)/len(y) = 221/1000, {Recall = 0.407762, Precision = 0.493619, F1 = 0.446602}, query = aurora	
Epoch 73, epsilon = 0.100, sum(y)/len(y) = 151/1000, {Recall = 0.298035, Precision = 0.540870, F1 = 0.384306}, query = aurora	
Epoch 74, epsilon = 0.100, sum(y)/len(y) = 219/1000, {Recall = 0.400575, Precision = 0.496437, F1 = 0.443384}, query = aurora	
Epoch 75, epsilon = 0.100, sum(y)/len(y) = 224/1000, {Recall = 0.413991, Precision = 0.487860, F1 = 0.447900}, query = aurora	
Epoch 76, epsilon = 0.100, sum(y)/len(y) = 203/1000, {Recall = 0.378055, Precision = 0.496851, F1 = 0.429388}, query = aurora	
Epoch 77, epsilon = 0.100, sum(y)/len(y) = 151/1000, {Recall = 0.298035, Precision = 0.540870, F1 = 0.384306}, query = aurora	
Epoch 78, epsilon = 0.100, sum(y)/len(y) = 268/1000, {Recall = 0.474365, Precision = 0.471429, F1 = 0.472892}, query = aurora	
Epoch 79, epsilon = 0.100, sum(y)/len(y) = 224/1000, {Recall = 0.412075, Precision = 0.485327, F1 = 0.445711}, query = aurora	
Epoch 80, epsilon = 0.100, sum(y)/len(y) = 150/1000, {Recall = 0.295640, Precision = 0.540754, F1 = 0.382280}, query = aurora	
Epoch 81, epsilon = 0.100, sum(y)/len(y) = 221/1000, {Recall = 0.403450, Precision = 0.479499, F1 = 0.438199}, query = aurora	
Epoch 82, epsilon = 0.100, sum(y)/len(y) = 227/1000, {Recall = 0.429324, Precision = 0.508225, F1 = 0.465455}, query = aurora	
Epoch 83, epsilon = 0.100, sum(y)/len(y) = 224/1000, {Recall = 0.423095, Precision = 0.501420, F1 = 0.458940}, query = aurora	
Epoch 84, epsilon = 0.100, sum(y)/len(y) = 150/1000, {Recall = 0.295640, Precision = 0.540754, F1 = 0.382280}, query = aurora	
