...Utils file loaded	
...running on GPU	
training model with learning rate = 0.050, K = 10, J = 20, threshold = 0.010, embedding size = 50, and batch size = 200...	
Running BOW model	
Epoch 0, epsilon = 1.000, sum(y)/len(y) = 488/1000, {Recall = 0.633445, Precision = 0.332579, F1 = 0.436160}, query = aurora	
Epoch 1, epsilon = 0.980, sum(y)/len(y) = 390/1000, {Recall = 0.574988, Precision = 0.382775, F1 = 0.459594}, query = aurora	
Epoch 2, epsilon = 0.960, sum(y)/len(y) = 486/1000, {Recall = 0.630570, Precision = 0.330653, F1 = 0.433822}, query = aurora	
Epoch 3, epsilon = 0.940, sum(y)/len(y) = 511/1000, {Recall = 0.631049, Precision = 0.316815, F1 = 0.421845}, query = aurora	
Epoch 4, epsilon = 0.920, sum(y)/len(y) = 486/1000, {Recall = 0.630091, Precision = 0.331318, F1 = 0.434280}, query = aurora	
Epoch 5, epsilon = 0.900, sum(y)/len(y) = 397/1000, {Recall = 0.590800, Precision = 0.382563, F1 = 0.464407}, query = aurora	
Epoch 6, epsilon = 0.880, sum(y)/len(y) = 515/1000, {Recall = 0.641112, Precision = 0.316761, F1 = 0.424022}, query = aurora	
Epoch 7, epsilon = 0.860, sum(y)/len(y) = 295/1000, {Recall = 0.512218, Precision = 0.450675, F1 = 0.479480}, query = aurora	
Epoch 8, epsilon = 0.840, sum(y)/len(y) = 406/1000, {Recall = 0.593675, Precision = 0.374207, F1 = 0.459059}, query = aurora	
Epoch 9, epsilon = 0.820, sum(y)/len(y) = 404/1000, {Recall = 0.592717, Precision = 0.374848, F1 = 0.459254}, query = aurora	
Epoch 10, epsilon = 0.800, sum(y)/len(y) = 181/1000, {Recall = 0.397221, Precision = 0.563562, F1 = 0.465992}, query = aurora	
Epoch 11, epsilon = 0.780, sum(y)/len(y) = 304/1000, {Recall = 0.533301, Precision = 0.439053, F1 = 0.481610}, query = aurora	
Epoch 12, epsilon = 0.760, sum(y)/len(y) = 186/1000, {Recall = 0.381888, Precision = 0.534182, F1 = 0.445376}, query = aurora	
Epoch 13, epsilon = 0.740, sum(y)/len(y) = 306/1000, {Recall = 0.512698, Precision = 0.431452, F1 = 0.468579}, query = aurora	
Epoch 14, epsilon = 0.720, sum(y)/len(y) = 385/1000, {Recall = 0.579780, Precision = 0.385350, F1 = 0.462981}, query = aurora	
Epoch 15, epsilon = 0.700, sum(y)/len(y) = 350/1000, {Recall = 0.544801, Precision = 0.393426, F1 = 0.456902}, query = aurora	
Epoch 16, epsilon = 0.680, sum(y)/len(y) = 414/1000, {Recall = 0.586967, Precision = 0.362748, F1 = 0.448389}, query = aurora	
Epoch 17, epsilon = 0.660, sum(y)/len(y) = 404/1000, {Recall = 0.591279, Precision = 0.370905, F1 = 0.455855}, query = aurora	
Epoch 18, epsilon = 0.640, sum(y)/len(y) = 297/1000, {Recall = 0.550551, Precision = 0.476368, F1 = 0.510780}, query = aurora	
Epoch 19, epsilon = 0.620, sum(y)/len(y) = 514/1000, {Recall = 0.640153, Precision = 0.323330, F1 = 0.429651}, query = aurora	
Epoch 20, epsilon = 0.600, sum(y)/len(y) = 267/1000, {Recall = 0.506948, Precision = 0.469805, F1 = 0.487670}, query = aurora	
