...Utils file loaded	
...running on GPU	
training model with learning rate = 0.050, K = 10, and minibatch size = 100...	
Running BOW model	
Epoch 0, epsilon = 1.000, sum(y)/len(y) = 507/1000, {Recall = 0.621945, Precision = 0.319390, F1 = 0.422045}, query = aurora	
Epoch 1, epsilon = 0.980, sum(y)/len(y) = 550/1000, {Recall = 0.649257, Precision = 0.303744, F1 = 0.413867}, query = aurora	
Epoch 2, epsilon = 0.960, sum(y)/len(y) = 484/1000, {Recall = 0.627695, Precision = 0.334953, F1 = 0.436812}, query = aurora	
Epoch 3, epsilon = 0.940, sum(y)/len(y) = 514/1000, {Recall = 0.633445, Precision = 0.317559, F1 = 0.423040}, query = aurora	
Epoch 4, epsilon = 0.920, sum(y)/len(y) = 450/1000, {Recall = 0.613800, Precision = 0.348098, F1 = 0.444252}, query = aurora	
Epoch 5, epsilon = 0.900, sum(y)/len(y) = 497/1000, {Recall = 0.635841, Precision = 0.327493, F1 = 0.432318}, query = aurora	
Epoch 6, epsilon = 0.880, sum(y)/len(y) = 457/1000, {Recall = 0.623383, Precision = 0.350674, F1 = 0.448853}, query = aurora	
Epoch 7, epsilon = 0.860, sum(y)/len(y) = 326/1000, {Recall = 0.543364, Precision = 0.426476, F1 = 0.477876}, query = aurora	
Epoch 8, epsilon = 0.840, sum(y)/len(y) = 421/1000, {Recall = 0.591279, Precision = 0.358930, F1 = 0.446697}, query = aurora	
Epoch 9, epsilon = 0.820, sum(y)/len(y) = 361/1000, {Recall = 0.575946, Precision = 0.410239, F1 = 0.479171}, query = aurora	
Epoch 10, epsilon = 0.800, sum(y)/len(y) = 444/1000, {Recall = 0.610925, Precision = 0.350853, F1 = 0.445726}, query = aurora	
Epoch 11, epsilon = 0.780, sum(y)/len(y) = 267/1000, {Recall = 0.499281, Precision = 0.480406, F1 = 0.489662}, query = aurora	
Epoch 12, epsilon = 0.760, sum(y)/len(y) = 300/1000, {Recall = 0.534260, Precision = 0.463040, F1 = 0.496107}, query = aurora	
Epoch 13, epsilon = 0.740, sum(y)/len(y) = 335/1000, {Recall = 0.563488, Precision = 0.427948, F1 = 0.486453}, query = aurora	
Epoch 14, epsilon = 0.720, sum(y)/len(y) = 321/1000, {Recall = 0.544801, Precision = 0.425683, F1 = 0.477932}, query = aurora	
Epoch 15, epsilon = 0.700, sum(y)/len(y) = 423/1000, {Recall = 0.590800, Precision = 0.363610, F1 = 0.450164}, query = aurora	
Epoch 16, epsilon = 0.680, sum(y)/len(y) = 259/1000, {Recall = 0.526114, Precision = 0.503208, F1 = 0.514406}, query = aurora	
Epoch 17, epsilon = 0.660, sum(y)/len(y) = 342/1000, {Recall = 0.552947, Precision = 0.412880, F1 = 0.472757}, query = aurora	
Epoch 18, epsilon = 0.640, sum(y)/len(y) = 390/1000, {Recall = 0.579780, Precision = 0.376478, F1 = 0.456518}, query = aurora	
Epoch 19, epsilon = 0.620, sum(y)/len(y) = 247/1000, {Recall = 0.471969, Precision = 0.498230, F1 = 0.484744}, query = aurora	
Epoch 20, epsilon = 0.600, sum(y)/len(y) = 290/1000, {Recall = 0.521322, Precision = 0.465554, F1 = 0.491863}, query = aurora	
Epoch 21, epsilon = 0.580, sum(y)/len(y) = 108/1000, {Recall = 0.275994, Precision = 0.635762, F1 = 0.384898}, query = aurora	
Epoch 22, epsilon = 0.560, sum(y)/len(y) = 187/1000, {Recall = 0.394346, Precision = 0.555331, F1 = 0.461194}, query = aurora	
Epoch 23, epsilon = 0.540, sum(y)/len(y) = 251/1000, {Recall = 0.491615, Precision = 0.501711, F1 = 0.496612}, query = aurora	
Epoch 24, epsilon = 0.520, sum(y)/len(y) = 347/1000, {Recall = 0.556301, Precision = 0.407654, F1 = 0.470517}, query = aurora	
Epoch 25, epsilon = 0.500, sum(y)/len(y) = 239/1000, {Recall = 0.487302, Precision = 0.506474, F1 = 0.496703}, query = aurora	
Epoch 26, epsilon = 0.480, sum(y)/len(y) = 151/1000, {Recall = 0.352659, Precision = 0.588329, F1 = 0.440983}, query = aurora	
Epoch 27, epsilon = 0.460, sum(y)/len(y) = 147/1000, {Recall = 0.338285, Precision = 0.588824, F1 = 0.429702}, query = aurora	
Epoch 28, epsilon = 0.440, sum(y)/len(y) = 306/1000, {Recall = 0.555343, Precision = 0.458103, F1 = 0.502058}, query = aurora	
Epoch 29, epsilon = 0.420, sum(y)/len(y) = 199/1000, {Recall = 0.436512, Precision = 0.559239, F1 = 0.490312}, query = aurora	
Epoch 30, epsilon = 0.400, sum(y)/len(y) = 254/1000, {Recall = 0.501198, Precision = 0.497858, F1 = 0.499522}, query = aurora	
Epoch 31, epsilon = 0.380, sum(y)/len(y) = 153/1000, {Recall = 0.363201, Precision = 0.611784, F1 = 0.455803}, query = aurora	
Epoch 32, epsilon = 0.360, sum(y)/len(y) = 196/1000, {Recall = 0.449928, Precision = 0.579272, F1 = 0.506472}, query = aurora	
Epoch 33, epsilon = 0.340, sum(y)/len(y) = 136/1000, {Recall = 0.342118, Precision = 0.632979, F1 = 0.444168}, query = aurora	
Epoch 34, epsilon = 0.320, sum(y)/len(y) = 157/1000, {Recall = 0.377575, Precision = 0.601986, F1 = 0.464075}, query = aurora	
Epoch 35, epsilon = 0.300, sum(y)/len(y) = 155/1000, {Recall = 0.361763, Precision = 0.590305, F1 = 0.448604}, query = aurora	
Epoch 36, epsilon = 0.280, sum(y)/len(y) = 57/1000, {Recall = 0.159559, Precision = 0.725490, F1 = 0.261587}, query = aurora	
Epoch 37, epsilon = 0.260, sum(y)/len(y) = 108/1000, {Recall = 0.280307, Precision = 0.658784, F1 = 0.393277}, query = aurora	
Epoch 38, epsilon = 0.240, sum(y)/len(y) = 84/1000, {Recall = 0.216579, Precision = 0.668639, F1 = 0.327181}, query = aurora	
Epoch 39, epsilon = 0.220, sum(y)/len(y) = 187/1000, {Recall = 0.406325, Precision = 0.571044, F1 = 0.474804}, query = aurora	
Epoch 40, epsilon = 0.200, sum(y)/len(y) = 91/1000, {Recall = 0.224724, Precision = 0.627005, F1 = 0.330864}, query = aurora	
Epoch 41, epsilon = 0.180, sum(y)/len(y) = 143/1000, {Recall = 0.344514, Precision = 0.610357, F1 = 0.440429}, query = aurora	
Epoch 42, epsilon = 0.160, sum(y)/len(y) = 99/1000, {Recall = 0.240537, Precision = 0.628285, F1 = 0.347886}, query = aurora	
Epoch 43, epsilon = 0.140, sum(y)/len(y) = 41/1000, {Recall = 0.116914, Precision = 0.739394, F1 = 0.201903}, query = aurora	
Epoch 44, epsilon = 0.120, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 45, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
