...Utils file loaded	
...running on GPU	
training model with learning rate = 0.050, K = 10, J = 20, threshold = 0.010, embedding size = 50, and batch size = 200...	
Running BOW model	
Epoch 0, epsilon = 1.000, sum(y)/len(y) = 488/1000, {Recall = 0.633445, Precision = 0.332579, F1 = 0.436160}, query = aurora	
Epoch 1, epsilon = 0.980, sum(y)/len(y) = 588/1000, {Recall = 0.661715, Precision = 0.288852, F1 = 0.402155}, query = aurora	
Epoch 2, epsilon = 0.960, sum(y)/len(y) = 486/1000, {Recall = 0.630570, Precision = 0.330653, F1 = 0.433822}, query = aurora	
Epoch 3, epsilon = 0.940, sum(y)/len(y) = 511/1000, {Recall = 0.631049, Precision = 0.316815, F1 = 0.421845}, query = aurora	
Epoch 4, epsilon = 0.920, sum(y)/len(y) = 486/1000, {Recall = 0.630091, Precision = 0.331318, F1 = 0.434280}, query = aurora	
Epoch 5, epsilon = 0.900, sum(y)/len(y) = 397/1000, {Recall = 0.590800, Precision = 0.382563, F1 = 0.464407}, query = aurora	
Epoch 6, epsilon = 0.880, sum(y)/len(y) = 515/1000, {Recall = 0.641112, Precision = 0.316761, F1 = 0.424022}, query = aurora	
Epoch 7, epsilon = 0.860, sum(y)/len(y) = 360/1000, {Recall = 0.565884, Precision = 0.403209, F1 = 0.470893}, query = aurora	
Epoch 8, epsilon = 0.840, sum(y)/len(y) = 606/1000, {Recall = 0.671778, Precision = 0.281979, F1 = 0.397223}, query = aurora	
Epoch 9, epsilon = 0.820, sum(y)/len(y) = 602/1000, {Recall = 0.650695, Precision = 0.275680, F1 = 0.387281}, query = aurora	
Epoch 10, epsilon = 0.800, sum(y)/len(y) = 701/1000, {Recall = 0.673215, Precision = 0.240007, F1 = 0.353860}, query = aurora	
Epoch 11, epsilon = 0.780, sum(y)/len(y) = 558/1000, {Recall = 0.643028, Precision = 0.291106, F1 = 0.400776}, query = aurora	
Epoch 12, epsilon = 0.760, sum(y)/len(y) = 582/1000, {Recall = 0.654528, Precision = 0.288064, F1 = 0.400059}, query = aurora	
Epoch 13, epsilon = 0.740, sum(y)/len(y) = 403/1000, {Recall = 0.574988, Precision = 0.365742, F1 = 0.447094}, query = aurora	
Epoch 14, epsilon = 0.720, sum(y)/len(y) = 518/1000, {Recall = 0.626258, Precision = 0.306880, F1 = 0.411913}, query = aurora	
