Epoch 0, epsilon = 1.000, sum(y)/len(y) = 525/1000, {Recall = 0.704360, Precision = 0.203151, F1 = 0.315349}, query = aurora	
Epoch 1, epsilon = 0.920, sum(y)/len(y) = 509/1000, {Recall = 0.711548, Precision = 0.210013, F1 = 0.324307}, query = aurora	
Epoch 2, epsilon = 0.840, sum(y)/len(y) = 360/1000, {Recall = 0.656924, Precision = 0.271916, F1 = 0.384626}, query = aurora	
Epoch 3, epsilon = 0.760, sum(y)/len(y) = 356/1000, {Recall = 0.662674, Precision = 0.285449, F1 = 0.399019}, query = aurora	
Epoch 4, epsilon = 0.680, sum(y)/len(y) = 289/1000, {Recall = 0.599904, Precision = 0.308679, F1 = 0.407618}, query = aurora	
Epoch 5, epsilon = 0.600, sum(y)/len(y) = 196/1000, {Recall = 0.566842, Precision = 0.425387, F1 = 0.486031}, query = aurora	
Epoch 6, epsilon = 0.520, sum(y)/len(y) = 283/1000, {Recall = 0.601342, Precision = 0.321465, F1 = 0.418962}, query = aurora	
Epoch 7, epsilon = 0.440, sum(y)/len(y) = 93/1000, {Recall = 0.356972, Precision = 0.586153, F1 = 0.443716}, query = aurora	
Epoch 8, epsilon = 0.360, sum(y)/len(y) = 205/1000, {Recall = 0.548634, Precision = 0.391989, F1 = 0.457268}, query = aurora	
Epoch 9, epsilon = 0.280, sum(y)/len(y) = 111/1000, {Recall = 0.423575, Precision = 0.569221, F1 = 0.485714}, query = aurora	
Epoch 10, epsilon = 0.200, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 11, epsilon = 0.120, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 12, epsilon = 0.040, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 13, epsilon = 0.100, sum(y)/len(y) = 50/1000, {Recall = 0.203642, Precision = 0.634328, F1 = 0.308306}, query = aurora	
Epoch 14, epsilon = 0.100, sum(y)/len(y) = 47/1000, {Recall = 0.227599, Precision = 0.686416, F1 = 0.341850}, query = aurora	
Epoch 15, epsilon = 0.100, sum(y)/len(y) = 107/1000, {Recall = 0.374221, Precision = 0.514493, F1 = 0.433287}, query = aurora	
Epoch 16, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 17, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 18, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 19, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 20, epsilon = 0.100, sum(y)/len(y) = 47/1000, {Recall = 0.164830, Precision = 0.569536, F1 = 0.255667}, query = aurora	
Epoch 21, epsilon = 0.100, sum(y)/len(y) = 58/1000, {Recall = 0.248203, Precision = 0.654040, F1 = 0.359847}, query = aurora	
Epoch 22, epsilon = 0.100, sum(y)/len(y) = 106/1000, {Recall = 0.340201, Precision = 0.518627, F1 = 0.410880}, query = aurora	
Epoch 23, epsilon = 0.100, sum(y)/len(y) = 152/1000, {Recall = 0.503115, Precision = 0.497395, F1 = 0.500238}, query = aurora	
Epoch 24, epsilon = 0.100, sum(y)/len(y) = 54/1000, {Recall = 0.216100, Precision = 0.589542, F1 = 0.316269}, query = aurora	
Epoch 25, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 26, epsilon = 0.100, sum(y)/len(y) = 54/1000, {Recall = 0.183996, Precision = 0.577444, F1 = 0.279070}, query = aurora	
Epoch 27, epsilon = 0.100, sum(y)/len(y) = 57/1000, {Recall = 0.269286, Precision = 0.654249, F1 = 0.381534}, query = aurora	
Epoch 28, epsilon = 0.100, sum(y)/len(y) = 54/1000, {Recall = 0.193579, Precision = 0.547425, F1 = 0.286018}, query = aurora	
Epoch 29, epsilon = 0.100, sum(y)/len(y) = 49/1000, {Recall = 0.233828, Precision = 0.695157, F1 = 0.349946}, query = aurora	
Epoch 30, epsilon = 0.100, sum(y)/len(y) = 109/1000, {Recall = 0.395304, Precision = 0.544914, F1 = 0.458206}, query = aurora	
Epoch 31, epsilon = 0.100, sum(y)/len(y) = 48/1000, {Recall = 0.177288, Precision = 0.589172, F1 = 0.272560}, query = aurora	
Epoch 32, epsilon = 0.100, sum(y)/len(y) = 49/1000, {Recall = 0.168663, Precision = 0.575163, F1 = 0.260837}, query = aurora	
Epoch 33, epsilon = 0.100, sum(y)/len(y) = 47/1000, {Recall = 0.197892, Precision = 0.630534, F1 = 0.301240}, query = aurora	
Epoch 34, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 35, epsilon = 0.100, sum(y)/len(y) = 99/1000, {Recall = 0.374701, Precision = 0.544568, F1 = 0.443940}, query = aurora	
Epoch 36, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 37, epsilon = 0.100, sum(y)/len(y) = 43/1000, {Recall = 0.176809, Precision = 0.630769, F1 = 0.276198}, query = aurora	
Epoch 38, epsilon = 0.100, sum(y)/len(y) = 57/1000, {Recall = 0.266411, Precision = 0.688971, F1 = 0.384243}, query = aurora	
Epoch 39, epsilon = 0.100, sum(y)/len(y) = 48/1000, {Recall = 0.219454, Precision = 0.663768, F1 = 0.329852}, query = aurora	
Epoch 40, epsilon = 0.100, sum(y)/len(y) = 48/1000, {Recall = 0.237183, Precision = 0.681818, F1 = 0.351937}, query = aurora	
Epoch 41, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 42, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 43, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 44, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 45, epsilon = 0.100, sum(y)/len(y) = 0/1000, {Recall = 0.000000, Precision = 0.000000, F1 = 0.000000}, query = aurora	
Epoch 46, epsilon = 0.100, sum(y)/len(y) = 108/1000, {Recall = 0.396263, Precision = 0.544796, F1 = 0.458807}, query = aurora	
Epoch 47, epsilon = 0.100, sum(y)/len(y) = 51/1000, {Recall = 0.220891, Precision = 0.682963, F1 = 0.333816}, query = aurora	
Epoch 48, epsilon = 0.100, sum(y)/len(y) = 148/1000, {Recall = 0.459032, Precision = 0.473320, F1 = 0.466067}, query = aurora	
Epoch 49, epsilon = 0.100, sum(y)/len(y) = 47/1000, {Recall = 0.218016, Precision = 0.678092, F1 = 0.329949}, query = aurora	
Epoch 50, epsilon = 0.100, sum(y)/len(y) = 44/1000, {Recall = 0.215621, Precision = 0.690184, F1 = 0.328587}, query = aurora
