epoch;epsilon;loss;randomF1;oracleF1;rougeF1;rougeRecall;rougePrecision;actual;pred;nselect;nskip;query
0; 1.000; 0.000339; 1.000000; 0.095365; 0.012177; 0.006166; 0.480000; {min=0.000, max=0.012}; {min=-0.057, max=0.021}; 10; 9; aurora
1; 0.950; 0.000426; 1.000000; 0.095365; 0.041298; 0.021583; 0.477273; {min=0.000, max=0.016}; {min=-0.041, max=0.053}; 7; 12; aurora
2; 0.900; 0.000505; 1.000000; 0.095365; 0.082531; 0.046249; 0.382979; {min=0.000, max=0.016}; {min=-0.048, max=0.035}; 11; 8; aurora
3; 0.850; 0.000512; 1.000000; 0.095365; 0.094128; 0.053957; 0.368421; {min=0.000, max=0.016}; {min=-0.042, max=0.025}; 7; 12; aurora
4; 0.800; 0.000180; 1.000000; 0.095365; 0.067542; 0.036999; 0.387097; {min=0.000, max=0.016}; {min=-0.028, max=0.037}; 11; 8; aurora
5; 0.750; 0.000208; 1.000000; 0.095365; 0.079743; 0.044707; 0.368644; {min=0.000, max=0.016}; {min=-0.028, max=0.030}; 8; 11; aurora
6; 0.700; 0.000125; 1.000000; 0.095365; 0.057711; 0.031346; 0.363095; {min=0.000, max=0.016}; {min=-0.031, max=0.028}; 6; 13; aurora
7; 0.650; 0.000175; 1.000000; 0.095365; 0.082465; 0.046763; 0.348659; {min=0.000, max=0.016}; {min=-0.023, max=0.034}; 11; 8; aurora
8; 0.600; 0.000116; 1.000000; 0.095365; 0.057711; 0.031346; 0.363095; {min=0.000, max=0.016}; {min=-0.033, max=0.025}; 7; 12; aurora
9; 0.550; 0.000124; 1.000000; 0.095365; 0.079743; 0.044707; 0.368644; {min=0.000, max=0.016}; {min=-0.022, max=0.029}; 9; 10; aurora
10; 0.500; 0.000100; 1.000000; 0.095365; 0.079743; 0.044707; 0.368644; {min=0.000, max=0.016}; {min=-0.026, max=0.016}; 8; 11; aurora
11; 0.450; 0.000103; 1.000000; 0.095365; 0.057711; 0.031346; 0.363095; {min=0.000, max=0.016}; {min=-0.031, max=0.015}; 12; 7; aurora
12; 0.400; 0.000147; 1.000000; 0.095365; 0.091719; 0.052929; 0.343333; {min=0.000, max=0.016}; {min=-0.024, max=0.031}; 13; 6; aurora
13; 0.350; 0.000035; 1.000000; 0.095365; 0.090662; 0.051387; 0.384615; {min=0.000, max=0.016}; {min=-0.025, max=0.019}; 13; 6; aurora
14; 0.300; 0.000044; 1.000000; 0.095365; 0.091719; 0.052929; 0.343333; {min=0.000, max=0.016}; {min=-0.025, max=0.023}; 13; 6; aurora
15; 0.250; 0.000041; 1.000000; 0.095365; 0.079743; 0.044707; 0.368644; {min=0.000, max=0.016}; {min=-0.027, max=0.009}; 9; 10; aurora
16; 0.200; 0.000032; 1.000000; 0.095365; 0.086129; 0.048818; 0.365385; {min=0.000, max=0.016}; {min=-0.024, max=0.021}; 11; 8; aurora
17; 0.150; 0.000032; 1.000000; 0.095365; 0.096861; 0.055498; 0.380282; {min=0.000, max=0.016}; {min=-0.023, max=0.022}; 13; 6; aurora
18; 0.100; 0.000092; 1.000000; 0.095365; 0.069224; 0.038027; 0.385417; {min=0.000, max=0.016}; {min=-0.030, max=0.015}; 10; 9; aurora
19; 0.050; 0.000022; 1.000000; 0.095365; 0.079743; 0.044707; 0.368644; {min=0.000, max=0.016}; {min=-0.023, max=0.012}; 11; 8; aurora
20; 0.050; 0.000030; 1.000000; 0.095365; 0.091719; 0.052929; 0.343333; {min=0.000, max=0.016}; {min=-0.025, max=0.019}; 14; 5; aurora
21; 0.050; 0.000016; 1.000000; 0.095365; 0.090542; 0.051901; 0.354386; {min=0.000, max=0.016}; {min=-0.026, max=0.015}; 13; 6; aurora
22; 0.050; 0.000013; 1.000000; 0.095365; 0.091719; 0.052929; 0.343333; {min=0.000, max=0.016}; {min=-0.026, max=0.016}; 14; 5; aurora
23; 0.050; 0.000015; 1.000000; 0.095365; 0.095280; 0.054985; 0.356667; {min=0.000, max=0.016}; {min=-0.026, max=0.016}; 14; 5; aurora
24; 0.050; 0.000011; 1.000000; 0.095365; 0.091719; 0.052929; 0.343333; {min=0.000, max=0.016}; {min=-0.026, max=0.014}; 14; 5; aurora
25; 0.050; 0.000014; 1.000000; 0.095365; 0.095280; 0.054985; 0.356667; {min=0.000, max=0.016}; {min=-0.027, max=0.016}; 14; 5; aurora
26; 0.050; 0.000011; 1.000000; 0.095365; 0.091719; 0.052929; 0.343333; {min=0.000, max=0.016}; {min=-0.026, max=0.014}; 13; 6; aurora
27; 0.050; 0.000036; 1.000000; 0.095365; 0.079561; 0.044707; 0.360996; {min=0.000, max=0.016}; {min=-0.029, max=0.014}; 10; 9; aurora
28; 0.050; 0.000008; 1.000000; 0.095365; 0.091719; 0.052929; 0.343333; {min=0.000, max=0.016}; {min=-0.027, max=0.014}; 14; 5; aurora
29; 0.050; 0.000006; 1.000000; 0.095365; 0.091719; 0.052929; 0.343333; {min=0.000, max=0.016}; {min=-0.027, max=0.012}; 14; 5; aurora
30; 0.050; 0.000009; 1.000000; 0.095365; 0.091719; 0.052929; 0.343333; {min=0.000, max=0.016}; {min=-0.027, max=0.012}; 13; 6; aurora
31; 0.050; 0.000016; 1.000000; 0.095365; 0.095280; 0.054985; 0.356667; {min=0.000, max=0.016}; {min=-0.026, max=0.015}; 13; 6; aurora
32; 0.050; 0.000034; 1.000000; 0.095365; 0.095280; 0.054985; 0.356667; {min=0.000, max=0.016}; {min=-0.026, max=0.014}; 15; 4; aurora
33; 0.050; 0.000008; 1.000000; 0.095365; 0.091719; 0.052929; 0.343333; {min=0.000, max=0.016}; {min=-0.026, max=0.015}; 14; 5; aurora
34; 0.050; 0.000023; 1.000000; 0.095365; 0.079561; 0.044707; 0.360996; {min=0.000, max=0.016}; {min=-0.030, max=0.013}; 11; 8; aurora
35; 0.050; 0.000006; 1.000000; 0.095365; 0.091719; 0.052929; 0.343333; {min=0.000, max=0.016}; {min=-0.027, max=0.013}; 13; 6; aurora
36; 0.050; 0.000004; 1.000000; 0.095365; 0.091719; 0.052929; 0.343333; {min=0.000, max=0.016}; {min=-0.026, max=0.012}; 14; 5; aurora
37; 0.050; 0.000005; 1.000000; 0.095365; 0.091719; 0.052929; 0.343333; {min=0.000, max=0.016}; {min=-0.026, max=0.013}; 15; 4; aurora
38; 0.050; 0.000003; 1.000000; 0.095365; 0.091719; 0.052929; 0.343333; {min=0.000, max=0.016}; {min=-0.026, max=0.014}; 14; 5; aurora
39; 0.050; 0.000006; 1.000000; 0.095365; 0.094770; 0.054471; 0.364261; {min=0.000, max=0.016}; {min=-0.026, max=0.014}; 13; 6; aurora
40; 0.050; 0.000003; 1.000000; 0.095365; 0.091719; 0.052929; 0.343333; {min=0.000, max=0.016}; {min=-0.026, max=0.014}; 14; 5; aurora
