epoch;epsilon;loss;rougeF1;rougeRecall;rougePrecision;actual;pred;nselect;nskip;query
0; 1.000; 8.298092; 0.129118; 0.074512; 0.483333; {min=-0.012, max=18.900}; {min=-52.325, max=5.228}; 97; 134; table: 0x0a2269a8
1; 0.800; 5.769179; 0.097061; 0.056012; 0.363333; {min=-0.006, max=58965.004}; {min=-33.112, max=3.866}; 198; 33; table: 0x0a2269a8
2; 0.600; 5.822186; 0.097061; 0.056012; 0.363333; {min=-0.006, max=16.200}; {min=-33.042, max=3.848}; 198; 33; table: 0x0a2269a8
3; 0.400; 5.456388; 0.097061; 0.056012; 0.363333; {min=-0.006, max=58965.004}; {min=-33.052, max=3.829}; 198; 33; table: 0x0a2269a8
4; 0.200; 5.549592; 0.097061; 0.056012; 0.363333; {min=-0.006, max=0.015}; {min=-33.062, max=3.814}; 198; 33; table: 0x0a2269a8
5; 0.000; 5.699895; 0.097061; 0.056012; 0.363333; {min=-0.006, max=863.700}; {min=-33.072, max=3.797}; 198; 33; table: 0x0a2269a8
6; 0.000; 5.637965; 0.097061; 0.056012; 0.363333; {min=-0.006, max=57.900}; {min=-33.081, max=3.782}; 198; 33; table: 0x0a2269a8
7; 0.000; 5.429813; 0.097061; 0.056012; 0.363333; {min=-0.006, max=50.100}; {min=-33.090, max=3.769}; 198; 33; table: 0x0a2269a8
8; 0.000; 5.464799; 0.097061; 0.056012; 0.363333; {min=-0.006, max=58965.004}; {min=-33.098, max=3.757}; 198; 33; table: 0x0a2269a8
9; 0.000; 5.362860; 0.097061; 0.056012; 0.363333; {min=-0.006, max=0.406}; {min=-33.106, max=3.744}; 198; 33; table: 0x0a2269a8
10; 0.000; 5.296652; 0.097061; 0.056012; 0.363333; {min=-0.006, max=50.100}; {min=-33.114, max=3.733}; 198; 33; table: 0x0a2269a8
11; 0.000; 5.471097; 0.097061; 0.056012; 0.363333; {min=-0.006, max=0.015}; {min=-33.121, max=3.721}; 198; 33; table: 0x0a2269a8
12; 0.000; 5.321454; 0.097061; 0.056012; 0.363333; {min=-0.006, max=58965.004}; {min=-33.129, max=3.709}; 198; 33; table: 0x0a2269a8
13; 0.000; 4.993618; 0.097061; 0.056012; 0.363333; {min=-0.006, max=8.100}; {min=-33.137, max=3.697}; 198; 33; table: 0x0a2269a8
14; 0.000; 6.018729; 0.121104; 0.069887; 0.453333; {min=-0.011, max=186.000}; {min=-41.059, max=3.689}; 138; 93; table: 0x0a2269a8
15; 0.000; 5.093362; 0.097061; 0.056012; 0.363333; {min=-0.006, max=8.100}; {min=-33.818, max=3.675}; 198; 33; table: 0x0a2269a8
16; 0.000; 4.893683; 0.097061; 0.056012; 0.363333; {min=-0.006, max=0.687}; {min=-33.158, max=3.665}; 198; 33; table: 0x0a2269a8
17; 0.000; 5.096727; 0.097061; 0.056012; 0.363333; {min=-0.006, max=7.200}; {min=-33.164, max=3.656}; 198; 33; table: 0x0a2269a8
18; 0.000; 6.046319; 0.121104; 0.069887; 0.453333; {min=-0.011, max=60.600}; {min=-41.087, max=3.646}; 138; 93; table: 0x0a2269a8
19; 0.000; 4.816967; 0.097061; 0.056012; 0.363333; {min=-0.006, max=7.200}; {min=-33.866, max=3.633}; 198; 33; table: 0x0a2269a8
20; 0.000; 4.507040; 0.097061; 0.056012; 0.363333; {min=-0.006, max=138.900}; {min=-33.184, max=3.625}; 198; 33; table: 0x0a2269a8
21; 0.000; 4.840037; 0.097061; 0.056012; 0.363333; {min=-0.006, max=7.200}; {min=-33.190, max=3.616}; 198; 33; table: 0x0a2269a8
22; 0.000; 4.864835; 0.097061; 0.056012; 0.363333; {min=-0.006, max=8.100}; {min=-33.195, max=3.609}; 198; 33; table: 0x0a2269a8
23; 0.000; 4.771286; 0.097061; 0.056012; 0.363333; {min=-0.006, max=0.015}; {min=-33.201, max=3.600}; 198; 33; table: 0x0a2269a8
