predSkip;predSelect;actual;Skip;Select;query
-0.016699;-0.224196;0.000000;1;0;1
-0.012298;-0.109593;0.000000;1;0;1
-0.002363;-0.187794;0.000000;1;0;1
-0.025929;-0.122378;0.000000;0;1;1
-0.046281;-0.188356;0.000000;1;0;1
0.028103;-0.154282;0.000000;1;0;1
-0.075594;-0.220142;0.000000;1;0;1
0.008462;-0.180091;0.000000;1;0;1
-0.013463;-0.252788;0.000000;0;1;1
-0.044473;-0.254445;0.000000;1;0;1
-0.051435;-0.143760;0.000000;1;0;1
0.036235;-0.250215;0.000000;0;1;1
-0.024431;-0.283784;0.000000;1;0;1
0.007839;-0.076198;0.000000;1;0;1
0.047809;-0.193706;0.000000;1;0;1
-0.014795;-0.227758;0.000000;1;0;1
-0.023883;-0.250599;0.000000;1;0;1
0.039327;-0.184177;0.000000;1;0;1
-0.006551;-0.140715;0.000000;1;0;1
0.115983;-0.296404;0.000000;1;0;1
