epoch;epsilon;loss;rouge;actual;pred;actions
1; 1.000;0.096732;0.240000; {min=-1.000, max=0.249}; {min=-0.399, max=0.188}; {1,0,0,1,0,1,0,1,1,0,1,0}
2; 0.998;0.137809;0.424242; {min=-0.701, max=0.196}; {min=-0.458, max=0.455}; {0,1,0,1,1,0,0,1,0,1,0,1}
3; 0.996;0.138783;0.666667; {min=-1.000, max=0.353}; {min=-0.399, max=0.219}; {1,0,1,0,0,1,1,0,0,1,1,0}
4; 0.994;0.127943;0.625000; {min=-0.701, max=0.196}; {min=-0.399, max=0.566}; {0,1,0,1,0,1,0,1,0,1,1,0}
5; 0.992;0.142712;0.482759; {min=-1.000, max=0.299}; {min=-0.399, max=0.593}; {1,0,1,0,0,1,0,1,0,1,0,1}
6; 0.990;0.205802;0.444444; {min=-1.000, max=0.444}; {min=-0.399, max=0.304}; {1,0,1,0,1,0,1,0,0,1,1,0}
7; 0.988;0.146617;0.560000; {min=-0.701, max=0.274}; {min=-0.399, max=0.587}; {0,1,0,1,1,0,1,0,0,1,1,0}
8; 0.986;0.069849;0.000000; {min=-1.000, max=0.000}; {min=-0.399, max=0.183}; {1,0,0,1,1,0,1,0,1,0,1,0}
9; 0.984;0.182664;0.482759; {min=-0.701, max=0.243}; {min=-0.458, max=0.455}; {0,1,0,1,1,0,0,1,0,1,1,0}
10; 0.982;0.073124;0.240000; {min=-0.701, max=0.000}; {min=-0.458, max=0.413}; {0,1,0,1,1,0,0,1,1,0,1,0}
11; 0.980;0.138663;0.285714; {min=-1.000, max=0.299}; {min=-0.399, max=0.295}; {1,0,1,0,0,1,0,1,1,0,1,0}
12; 0.978;0.138653;0.285714; {min=-1.000, max=0.299}; {min=-0.399, max=0.295}; {1,0,1,0,0,1,0,1,1,0,1,0}
13; 0.976;0.174124;0.714286; {min=-0.701, max=0.214}; {min=-0.399, max=0.730}; {0,1,0,1,0,1,1,0,0,1,1,0}
14; 0.974;0.184147;0.307692; {min=-1.000, max=0.319}; {min=-0.399, max=0.383}; {1,0,1,0,1,0,0,1,0,1,0,1}
15; 0.972;0.115672;0.352941; {min=-1.000, max=0.353}; {min=-0.399, max=0.244}; {1,0,1,0,0,1,1,0,1,0,1,0}
16; 0.970;0.129584;0.482759; {min=-1.000, max=0.286}; {min=-0.399, max=0.593}; {1,0,0,1,0,1,1,0,0,1,0,1}
17; 0.968;0.045791;0.285714; {min=-0.647, max=0.000}; {min=-0.399, max=0.243}; {0,1,1,0,1,0,1,0,1,0,0,1}
18; 0.966;0.189835;0.363636; {min=-1.000, max=0.364}; {min=-0.399, max=0.383}; {1,0,0,1,1,0,1,0,0,1,1,0}
19; 0.964;0.148787;0.285714; {min=-0.701, max=0.000}; {min=-0.399, max=0.520}; {0,1,0,1,1,0,1,0,1,0,1,0}
20; 0.962;0.142757;0.482759; {min=-1.000, max=0.299}; {min=-0.399, max=0.593}; {1,0,1,0,0,1,0,1,0,1,0,1}
21; 0.960;0.182609;0.482759; {min=-0.701, max=0.243}; {min=-0.459, max=0.454}; {0,1,0,1,1,0,0,1,0,1,1,0}
22; 0.958;0.184205;0.307692; {min=-1.000, max=0.319}; {min=-0.399, max=0.383}; {1,0,1,0,1,0,0,1,0,1,0,1}
